64 64
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
44 56 45 54 37 11 8 47 20 23 39 25 19 24 5 17 46 31 1 28 30 7 41 60 35 27 50 49 59 14 2 3 34 62 6 36 57 52 4 15 29 55 53 40 48 61 18 42 21 43 12 0 16 51 33 58 38 22 13 9 26 32 10 63
38 61 9 23 49 47 34 42 55 12 36 15 37 6 0 10 45 27 52 32 16 7 3 20 26 4 57 50 39 48 31 5 2 41 14 17 33 19 13 18 62 11 40 25 58 22 24 1 35 54 29 21 44 43 53 8 59 60 28 56 63 30 51 46
8 6 22 27 47 10 62 61 56 48 2 20 50 58 54 26 19 7 49 9 3 28 14 33 17 39 40 18 52 55 13 63 4 0 36 1 46 57 23 21 12 43 53 38 51 34 41 16 25 15 59 35 32 5 29 31 45 60 37 11 44 24 30 42
7 6 0 14 21 48 35 58 26 8 63 34 46 2 45 31 9 27 56 4 61 13 22 28 60 32 20 30 55 16 11 44 47 38 42 59 1 39 52 36 19 17 37 10 49 51 50 43 57 54 33 23 53 12 40 29 25 62 15 41 18 3 24 5
52 31 33 32 25 39 36 15 5 35 57 22 11 7 44 60 23 63 48 6 50 51 0 59 3 30 17 40 8 53 45 16 28 47 27 13 54 9 38 49 43 58 4 10 42 14 2 12 37 61 56 26 29 20 24 41 46 21 34 18 1 62 19 55
27 11 32 19 23 0 55 20 2 13 42 40 31 62 9 57 7 53 60 35 44 34 15 54 51 24 48 50 1 16 56 30 63 43 49 61 25 41 46 3 29 18 17 12 4 21 39 6 14 10 45 38 26 5 28 22 47 33 52 36 58 59 37 8
12 35 46 60 23 21 8 16 29 49 10 52 11 43 0 47 19 1 26 6 53 44 40 57 63 41 31 24 13 22 5 42 39 15 51 54 7 56 50 55 36 48 14 62 32 59 61 38 9 28 3 58 18 17 27 45 33 34 2 30 37 4 25 20
33 38 55 25 4 29 31 0 47 61 52 26 9 8 35 19 24 48 23 46 18 37 10 5 27 15 45 63 12 13 20 59 16 3 51 41 44 50 32 40 11 21 34 60 28 57 53 30 39 54 58 56 42 7 1 22 2 62 43 36 14 6 17 49
1 38 53 30 4 37 17 23 35 62 15 20 40 3 55 54 49 41 58 13 43 51 47 19 12 63 42 2 59 21 7 26 10 32 33 11 45 48 6 56 60 0 29 57 39 50 16 14 5 36 46 31 44 27 34 9 18 8 52 28 25 61 22 24
43 11 32 12 9 53 46 24 16 27 59 48 2 35 14 39 41 0 57 8 62 36 19 18 45 29 34 58 33 56 28 47 20 15 37 25 55 10 22 23 30 6 26 13 61 51 54 60 42 50 21 31 44 7 38 4 63 40 49 1 5 3 52 17
