SNR =  3.00, rawBER =  0.04, BLER =     1000/    1007 = 0.993049
SNR =  3.25, rawBER =  0.04, BLER =     1000/    1021 = 0.979432
SNR =  3.50, rawBER =  0.03, BLER =     1000/    1031 = 0.969932
SNR =  3.75, rawBER =  0.03, BLER =     1000/    1045 = 0.956938
SNR =  4.00, rawBER =  0.02, BLER =     1000/    1069 = 0.935454
SNR =  4.25, rawBER =  0.02, BLER =     1000/    1109 = 0.901713
SNR =  4.50, rawBER =  0.02, BLER =     1000/    1167 = 0.856898
SNR =  4.75, rawBER =  0.02, BLER =     1000/    1261 = 0.793021
SNR =  5.00, rawBER =  0.01, BLER =     1000/    1369 = 0.730460
SNR =  5.25, rawBER =  0.01, BLER =     1000/    1525 = 0.655738
SNR =  5.50, rawBER =  0.01, BLER =     1000/    1734 = 0.576701
SNR =  5.75, rawBER =  0.01, BLER =     1000/    2072 = 0.482625
SNR =  6.00, rawBER =  0.01, BLER =     1000/    2549 = 0.392311
