SNR =  3.00, rawBER =  0.04, BLER =      100/     104 = 0.961538
SNR =  3.25, rawBER =  0.04, BLER =      100/     107 = 0.934579
SNR =  3.50, rawBER =  0.03, BLER =      100/     110 = 0.909091
SNR =  3.75, rawBER =  0.03, BLER =      100/     123 = 0.813008
SNR =  4.00, rawBER =  0.02, BLER =      100/     134 = 0.746269
SNR =  4.25, rawBER =  0.02, BLER =      100/     157 = 0.636943
SNR =  4.50, rawBER =  0.02, BLER =      100/     187 = 0.534759
SNR =  4.75, rawBER =  0.02, BLER =      100/     201 = 0.497512
SNR =  5.00, rawBER =  0.01, BLER =      100/     253 = 0.395257
SNR =  5.25, rawBER =  0.01, BLER =      100/     318 = 0.314465
SNR =  5.50, rawBER =  0.01, BLER =      100/     437 = 0.228833
SNR =  5.75, rawBER =  0.01, BLER =      100/     666 = 0.150150
SNR =  6.00, rawBER =  0.01, BLER =      100/    1180 = 0.084746
