SNR =  3.00, rawBER =  0.04, BLER =      100/     114 = 0.877193
SNR =  3.25, rawBER =  0.04, BLER =      100/     125 = 0.800000
SNR =  3.50, rawBER =  0.03, BLER =      100/     133 = 0.751880
SNR =  3.75, rawBER =  0.03, BLER =      100/     167 = 0.598802
SNR =  4.00, rawBER =  0.02, BLER =      100/     189 = 0.529101
SNR =  4.25, rawBER =  0.02, BLER =      100/     221 = 0.452489
SNR =  4.50, rawBER =  0.02, BLER =      100/     291 = 0.343643
SNR =  4.75, rawBER =  0.02, BLER =      100/     385 = 0.259740
SNR =  5.00, rawBER =  0.01, BLER =      100/     618 = 0.161812
SNR =  5.25, rawBER =  0.01, BLER =      100/     991 = 0.100908
SNR =  5.50, rawBER =  0.01, BLER =      100/    1718 = 0.058207
SNR =  5.75, rawBER =  0.01, BLER =      100/    2790 = 0.035842
SNR =  6.00, rawBER =  0.01, BLER =      100/    5232 = 0.019113
