snr,method,m,samples,errors,bler
2.0,full_ped,16,9886.0,500.0,0.0505766
2.0,static_pm_rank,1,9886.0,562.0,0.0568481
2.0,static_pm_rank,4,9886.0,503.0,0.05088
2.0,static_pm_rank,8,9886.0,501.0,0.0506777
2.0,static_pm_rank,12,9886.0,500.0,0.0505766
2.25,full_ped,16,13323.0,500.0,0.0375291
2.25,static_pm_rank,1,13323.0,558.0,0.0418825
2.25,static_pm_rank,4,13323.0,498.0,0.037379
2.25,static_pm_rank,8,13323.0,500.0,0.0375291
2.25,static_pm_rank,12,13323.0,500.0,0.0375291
2.5,full_ped,16,18770.0,500.0,0.0266383
2.5,static_pm_rank,1,18770.0,585.0,0.0311668
2.5,static_pm_rank,4,18770.0,508.0,0.0270645
2.5,static_pm_rank,8,18770.0,500.0,0.0266383
2.5,static_pm_rank,12,18770.0,500.0,0.0266383
2.75,full_ped,16,26407.0,499.0,0.0188965
2.75,static_pm_rank,1,26407.0,574.0,0.0217367
2.75,static_pm_rank,4,26407.0,499.0,0.0188965
2.75,static_pm_rank,8,26407.0,500.0,0.0189344
2.75,static_pm_rank,12,26407.0,500.0,0.0189344
3.0,full_ped,16,42123.0,500.0,0.01187
3.0,static_pm_rank,1,42123.0,583.0,0.0138404
3.0,static_pm_rank,4,42123.0,501.0,0.0118937
3.0,static_pm_rank,8,42123.0,500.0,0.01187
3.0,static_pm_rank,12,42123.0,500.0,0.01187
