snr,method,t,m,samples,errors,bler
2.0,full_ped,,16,20198.0,995.0,0.0492623
2.25,full_ped,,16,27471.0,998.0,0.0363292
2.5,full_ped,,16,37783.0,985.0,0.0260699
2.75,full_ped,,16,53851.0,991.0,0.0184026
3.0,full_ped,,16,80303.0,989.0,0.0123159
3.5,full_ped,,16,200690.0,995.0,0.0049579
4.0,full_ped,,16,556742.0,985.0,0.00176922
2.0,pure_scl8,,1,20652.0,1000.0,0.0484215
2.25,pure_scl8,,1,27024.0,1000.0,0.0370041
2.5,pure_scl8,,1,38511.0,1000.0,0.0259666
2.75,pure_scl8,,1,54977.0,1000.0,0.0181894
3.0,pure_scl8,,1,76711.0,1000.0,0.0130359
3.5,pure_scl8,,1,199532.0,1000.0,0.00501173
4.0,pure_scl8,,1,520980.0,1000.0,0.00191946
4.5,full_ped,,16,1669488.0,988.0,0.000591798
4.5,pure_scl8,,1,1733056.0,1000.0,0.000577015
2.0,pure_sc,,1,4018.0,1000.0,0.24888
2.25,pure_sc,,1,4527.0,1000.0,0.220897
2.5,pure_sc,,1,5551.0,1000.0,0.180148
2.75,pure_sc,,1,6553.0,1000.0,0.152602
3.0,pure_sc,,1,8346.0,1000.0,0.119818
3.5,pure_sc,,1,12781.0,1000.0,0.0782411
4.0,pure_sc,,1,21451.0,1000.0,0.0466179
4.5,pure_sc,,1,40741.0,1000.0,0.0245453
2.0,pure_scl2,,1,9548.0,1000.0,0.104734
2.25,pure_scl2,,1,12037.0,1000.0,0.0830772
2.5,pure_scl2,,1,16125.0,1000.0,0.0620155
2.75,pure_scl2,,1,20541.0,1000.0,0.0486831
3.0,pure_scl2,,1,27692.0,1000.0,0.0361115
3.5,pure_scl2,,1,56552.0,1000.0,0.0176828
4.0,pure_scl2,,1,124139.0,1000.0,0.00805549
4.5,pure_scl2,,1,311945.0,1000.0,0.00320569
2.0,static_pm_rank,4,2,14898.0,1000.0,0.0671231
2.0,trace_learned,4,2,14898.0,1031.0,0.0692039
2.25,static_pm_rank,4,2,19061.0,1000.0,0.0524631
2.25,trace_learned,4,2,19061.0,1005.0,0.0527255
2.5,static_pm_rank,4,2,26125.0,1000.0,0.0382775
2.5,trace_learned,4,2,26125.0,1016.0,0.03889
2.75,static_pm_rank,4,2,35189.0,1006.0,0.0285885
2.75,trace_learned,4,2,35189.0,1000.0,0.028418
3.0,static_pm_rank,4,2,53577.0,1000.0,0.0186647
3.0,trace_learned,4,2,53577.0,1003.0,0.0187207
3.5,static_pm_rank,4,2,117815.0,1000.0,0.00848788
3.5,trace_learned,4,2,117815.0,1061.0,0.00900564
4.0,static_pm_rank,4,2,287778.0,1000.0,0.0034749
4.0,trace_learned,4,2,287778.0,1019.0,0.00354092
4.5,static_pm_rank,4,2,866069.0,1000.0,0.00115464
4.5,trace_learned,4,2,866069.0,1091.0,0.00125971
2.0,static_pm_rank,8,2,17173.0,1079.0,0.0628312
2.0,trace_learned,8,2,17173.0,1000.0,0.0582309
2.25,static_pm_rank,8,2,23400.0,1100.0,0.0470085
2.25,trace_learned,8,2,23400.0,1000.0,0.042735
2.5,static_pm_rank,8,2,31320.0,1086.0,0.0346743
2.5,trace_learned,8,2,31320.0,1000.0,0.0319285
2.75,static_pm_rank,8,2,43207.0,1034.0,0.0239313
2.75,trace_learned,8,2,43207.0,1000.0,0.0231444
3.0,static_pm_rank,8,2,64805.0,1081.0,0.0166808
3.0,trace_learned,8,2,64805.0,1000.0,0.0154309
3.5,static_pm_rank,8,2,140673.0,1108.0,0.00787642
3.5,trace_learned,8,2,140673.0,1000.0,0.00710868
4.0,static_pm_rank,8,2,397657.0,1172.0,0.00294726
4.0,trace_learned,8,2,397657.0,1000.0,0.00251473
4.5,static_pm_rank,8,2,1228773.0,1176.0,0.000957052
4.5,trace_learned,8,2,1228773.0,1000.0,0.00081382
2.0,static_pm_rank,16,2,16831.0,1088.0,0.0646426
2.0,trace_learned,16,2,16831.0,1000.0,0.0594142
2.25,static_pm_rank,16,2,20135.0,1073.0,0.0532903
2.25,trace_learned,16,2,20135.0,1000.0,0.0496648
2.5,static_pm_rank,16,2,27754.0,1096.0,0.0394898
2.5,trace_learned,16,2,27754.0,1000.0,0.0360308
2.75,static_pm_rank,16,2,39495.0,1117.0,0.0282821
2.75,trace_learned,16,2,39495.0,1000.0,0.0253197
3.0,static_pm_rank,16,2,55764.0,1109.0,0.0198874
3.0,trace_learned,16,2,55764.0,1000.0,0.0179327
3.5,static_pm_rank,16,2,128581.0,1149.0,0.008936
3.5,trace_learned,16,2,128581.0,1000.0,0.0077772
4.0,static_pm_rank,16,2,351778.0,1195.0,0.00339703
4.0,trace_learned,16,2,351778.0,1000.0,0.0028427
4.5,static_pm_rank,16,2,990123.0,1249.0,0.00126146
4.5,trace_learned,16,2,990123.0,1000.0,0.00100998
2.0,static_pm_rank,20,2,16703.0,1112.0,0.0665749
2.0,trace_learned,20,2,16703.0,1000.0,0.0598695
2.25,static_pm_rank,20,2,21863.0,1104.0,0.0504963
2.25,trace_learned,20,2,21863.0,1000.0,0.0457394
2.5,static_pm_rank,20,2,29326.0,1124.0,0.0383278
2.5,trace_learned,20,2,29326.0,1000.0,0.0340994
2.75,static_pm_rank,20,2,42933.0,1169.0,0.0272285
2.75,trace_learned,20,2,42933.0,1000.0,0.0232921
3.0,static_pm_rank,20,2,58653.0,1156.0,0.0197091
3.0,trace_learned,20,2,58653.0,1000.0,0.0170494
2.0,static_pm_rank,24,2,20960.0,1000.0,0.0477099
3.5,static_pm_rank,20,2,144073.0,1222.0,0.00848181
3.5,trace_learned,20,2,144073.0,1000.0,0.00694093
2.25,static_pm_rank,24,2,27470.0,1000.0,0.0364033
2.5,static_pm_rank,24,2,38604.0,1000.0,0.0259041
