snr,method,t,m,samples,errors,bler
2.0,full_ped,,16,20198.0,995.0,0.0492623
2.25,full_ped,,16,27471.0,998.0,0.0363292
2.5,full_ped,,16,37783.0,985.0,0.0260699
2.75,full_ped,,16,53851.0,991.0,0.0184026
3.0,full_ped,,16,80303.0,989.0,0.0123159
3.5,full_ped,,16,200690.0,995.0,0.0049579
4.0,full_ped,,16,556742.0,985.0,0.00176922
2.0,pure_scl8,,1,20652.0,1000.0,0.0484215
2.25,pure_scl8,,1,27024.0,1000.0,0.0370041
2.5,pure_scl8,,1,38511.0,1000.0,0.0259666
2.75,pure_scl8,,1,54977.0,1000.0,0.0181894
3.0,pure_scl8,,1,76711.0,1000.0,0.0130359
3.5,pure_scl8,,1,199532.0,1000.0,0.00501173
4.0,pure_scl8,,1,520980.0,1000.0,0.00191946
4.5,full_ped,,16,1669488.0,988.0,0.000591798
4.5,pure_scl8,,1,1733056.0,1000.0,0.000577015
2.0,pure_sc,,1,4018.0,1000.0,0.24888
2.25,pure_sc,,1,4527.0,1000.0,0.220897
2.5,pure_sc,,1,5551.0,1000.0,0.180148
2.75,pure_sc,,1,6553.0,1000.0,0.152602
3.0,pure_sc,,1,8346.0,1000.0,0.119818
3.5,pure_sc,,1,12781.0,1000.0,0.0782411
4.0,pure_sc,,1,21451.0,1000.0,0.0466179
4.5,pure_sc,,1,40741.0,1000.0,0.0245453
2.0,static_pm_rank,4,2,14985.0,1000.0,0.0667334
2.0,trace_learned,4,2,14985.0,1023.0,0.0682683
2.25,static_pm_rank,4,2,20028.0,1006.0,0.0502297
2.25,trace_learned,4,2,20028.0,1000.0,0.0499301
2.5,static_pm_rank,4,2,29930.0,1031.0,0.034447
2.5,trace_learned,4,2,29930.0,1000.0,0.0334113
2.75,static_pm_rank,4,2,37663.0,1000.0,0.0265513
2.75,trace_learned,4,2,37663.0,1018.0,0.0270292
3.0,static_pm_rank,4,2,52928.0,1021.0,0.0192904
3.0,trace_learned,4,2,52928.0,1000.0,0.0188936
3.5,static_pm_rank,4,2,118122.0,1010.0,0.00855048
3.5,trace_learned,4,2,118122.0,1000.0,0.00846582
4.0,static_pm_rank,4,2,296944.0,1000.0,0.00336764
4.0,trace_learned,4,2,296944.0,1012.0,0.00340805
4.5,static_pm_rank,4,2,829375.0,1022.0,0.00123225
4.5,trace_learned,4,2,829375.0,1000.0,0.00120573
2.0,static_pm_rank,8,2,17393.0,1064.0,0.061174
2.0,trace_learned,8,2,17393.0,1000.0,0.0574944
2.25,static_pm_rank,8,2,22734.0,1075.0,0.047286
2.25,trace_learned,8,2,22734.0,1000.0,0.043987
2.5,static_pm_rank,8,2,32275.0,1097.0,0.0339892
2.5,trace_learned,8,2,32275.0,1000.0,0.0309837
2.75,static_pm_rank,8,2,48027.0,1117.0,0.0232578
2.75,trace_learned,8,2,48027.0,1000.0,0.0208216
3.0,static_pm_rank,8,2,63083.0,1130.0,0.0179129
3.0,trace_learned,8,2,63083.0,1000.0,0.0158521
3.5,static_pm_rank,8,2,142471.0,1141.0,0.00800865
3.5,trace_learned,8,2,142471.0,1000.0,0.00701897
4.0,static_pm_rank,8,2,386214.0,1142.0,0.00295691
4.0,trace_learned,8,2,386214.0,1000.0,0.00258924
4.5,static_pm_rank,8,2,1197239.0,1163.0,0.000971402
4.5,trace_learned,8,2,1197239.0,1000.0,0.000835255
2.0,static_pm_rank,16,2,14916.0,1000.0,0.0670421
2.0,trace_learned,16,2,14916.0,1047.0,0.0701931
2.25,static_pm_rank,16,2,18527.0,1000.0,0.0539753
2.25,trace_learned,16,2,18527.0,1020.0,0.0550548
2.5,static_pm_rank,16,2,26105.0,1000.0,0.0383068
2.5,trace_learned,16,2,26105.0,1055.0,0.0404137
2.75,static_pm_rank,16,2,37320.0,1000.0,0.0267953
2.75,trace_learned,16,2,37320.0,1068.0,0.0286174
3.0,static_pm_rank,16,2,54805.0,1000.0,0.0182465
3.0,trace_learned,16,2,54805.0,1058.0,0.0193048
3.5,static_pm_rank,16,2,110718.0,1000.0,0.00903196
3.5,trace_learned,16,2,110718.0,1097.0,0.00990805
4.0,static_pm_rank,16,2,282575.0,1000.0,0.00353888
4.0,trace_learned,16,2,282575.0,1069.0,0.00378307
4.5,static_pm_rank,16,2,786631.0,1000.0,0.00127124
4.5,trace_learned,16,2,786631.0,1084.0,0.00137803
2.0,static_pm_rank,20,2,14984.0,1000.0,0.0667379
2.0,trace_learned,20,2,14984.0,1041.0,0.0694741
2.25,static_pm_rank,20,2,19575.0,1000.0,0.0510856
2.25,trace_learned,20,2,19575.0,1057.0,0.0539974
2.5,static_pm_rank,20,2,26849.0,1000.0,0.0372453
2.5,trace_learned,20,2,26849.0,1055.0,0.0392938
2.75,static_pm_rank,20,2,36992.0,1000.0,0.0270329
2.75,trace_learned,20,2,36992.0,1042.0,0.0281683
3.0,static_pm_rank,20,2,52951.0,1000.0,0.0188854
3.0,trace_learned,20,2,52951.0,1072.0,0.0202451
3.5,static_pm_rank,20,2,118323.0,1000.0,0.00845144
3.5,trace_learned,20,2,118323.0,1064.0,0.00899233
4.0,static_pm_rank,20,2,275676.0,1000.0,0.00362745
4.0,trace_learned,20,2,275676.0,1041.0,0.00377617
4.5,static_pm_rank,20,2,800417.0,1000.0,0.00124935
4.5,trace_learned,20,2,800417.0,1080.0,0.0013493
2.0,pure_scl2,,1,9548.0,1000.0,0.104734
2.25,pure_scl2,,1,12037.0,1000.0,0.0830772
2.5,pure_scl2,,1,16125.0,1000.0,0.0620155
2.75,pure_scl2,,1,20541.0,1000.0,0.0486831
3.0,pure_scl2,,1,27692.0,1000.0,0.0361115
3.5,pure_scl2,,1,56552.0,1000.0,0.0176828
4.0,pure_scl2,,1,124139.0,1000.0,0.00805549
