snr,method,m,samples,errors,bler
2.0,full_ped,16,20198.0,995.0,0.0492623
2.0,static_pm_rank,1,20198.0,1678.0,0.0830775
2.0,trace_learned,1,20198.0,1527.0,0.0756015
2.0,static_pm_rank,2,20198.0,1272.0,0.0629765
2.0,trace_learned,2,20198.0,1146.0,0.0567383
2.0,static_pm_rank,3,20198.0,1125.0,0.0556986
2.0,trace_learned,3,20198.0,1067.0,0.052827
2.0,static_pm_rank,4,20198.0,1068.0,0.0528765
2.0,trace_learned,4,20198.0,1041.0,0.0515398
2.0,static_pm_rank,8,20198.0,1003.0,0.0496584
2.0,trace_learned,8,20198.0,1000.0,0.0495099
2.25,full_ped,16,27471.0,998.0,0.0363292
2.25,static_pm_rank,1,27471.0,1721.0,0.0626479
2.25,trace_learned,1,27471.0,1585.0,0.0576972
2.25,static_pm_rank,2,27471.0,1277.0,0.0464854
2.25,trace_learned,2,27471.0,1174.0,0.042736
2.25,static_pm_rank,3,27471.0,1130.0,0.0411343
2.25,trace_learned,3,27471.0,1076.0,0.0391686
2.25,static_pm_rank,4,27471.0,1066.0,0.0388046
2.25,trace_learned,4,27471.0,1041.0,0.0378945
2.25,static_pm_rank,8,27471.0,1004.0,0.0365476
2.25,trace_learned,8,27471.0,1000.0,0.036402
2.5,full_ped,16,37783.0,985.0,0.0260699
2.5,static_pm_rank,1,37783.0,1851.0,0.0489903
2.5,trace_learned,1,37783.0,1628.0,0.0430882
2.5,static_pm_rank,2,37783.0,1316.0,0.0348305
2.5,trace_learned,2,37783.0,1212.0,0.0320779
2.5,static_pm_rank,3,37783.0,1150.0,0.030437
2.5,trace_learned,3,37783.0,1082.0,0.0286372
2.5,static_pm_rank,4,37783.0,1080.0,0.0285843
2.5,trace_learned,4,37783.0,1045.0,0.0276579
2.5,static_pm_rank,8,37783.0,1000.0,0.0264669
2.5,trace_learned,8,37783.0,1000.0,0.0264669
2.75,full_ped,16,53851.0,991.0,0.0184026
2.75,static_pm_rank,1,53851.0,1922.0,0.0356911
2.75,trace_learned,1,53851.0,1718.0,0.0319028
2.75,static_pm_rank,2,53851.0,1362.0,0.025292
2.75,trace_learned,2,53851.0,1223.0,0.0227108
2.75,static_pm_rank,3,53851.0,1173.0,0.0217823
2.75,trace_learned,3,53851.0,1111.0,0.020631
2.75,static_pm_rank,4,53851.0,1087.0,0.0201853
2.75,trace_learned,4,53851.0,1057.0,0.0196282
2.75,static_pm_rank,8,53851.0,1000.0,0.0185698
2.75,trace_learned,8,53851.0,1002.0,0.0186069
3.0,full_ped,16,80303.0,989.0,0.0123159
3.0,static_pm_rank,1,80303.0,1999.0,0.0248932
3.0,trace_learned,1,80303.0,1716.0,0.0213691
3.0,static_pm_rank,2,80303.0,1370.0,0.0170604
3.0,trace_learned,2,80303.0,1241.0,0.015454
3.0,static_pm_rank,3,80303.0,1172.0,0.0145947
3.0,trace_learned,3,80303.0,1099.0,0.0136857
3.0,static_pm_rank,4,80303.0,1081.0,0.0134615
3.0,trace_learned,4,80303.0,1033.0,0.0128638
3.0,static_pm_rank,8,80303.0,1004.0,0.0125026
3.0,trace_learned,8,80303.0,1000.0,0.0124528
3.5,full_ped,16,200690.0,995.0,0.0049579
3.5,static_pm_rank,1,200690.0,2354.0,0.0117295
3.5,trace_learned,1,200690.0,2070.0,0.0103144
3.5,static_pm_rank,2,200690.0,1476.0,0.00735463
3.5,trace_learned,2,200690.0,1296.0,0.00645772
3.5,static_pm_rank,3,200690.0,1231.0,0.00613384
3.5,trace_learned,3,200690.0,1129.0,0.00562559
3.5,static_pm_rank,4,200690.0,1113.0,0.00554587
3.5,trace_learned,4,200690.0,1062.0,0.00529174
3.5,static_pm_rank,8,200690.0,1006.0,0.00501271
3.5,trace_learned,8,200690.0,1000.0,0.00498281
4.0,full_ped,16,556742.0,985.0,0.00176922
4.0,static_pm_rank,1,556742.0,2703.0,0.00485503
4.0,trace_learned,1,556742.0,2372.0,0.0042605
4.0,static_pm_rank,2,556742.0,1556.0,0.00279483
4.0,trace_learned,2,556742.0,1346.0,0.00241764
4.0,static_pm_rank,3,556742.0,1256.0,0.00225598
4.0,trace_learned,3,556742.0,1152.0,0.00206918
4.0,static_pm_rank,4,556742.0,1120.0,0.0020117
4.0,trace_learned,4,556742.0,1067.0,0.00191651
4.0,static_pm_rank,8,556742.0,1006.0,0.00180694
4.0,trace_learned,8,556742.0,1000.0,0.00179616
4.5,full_ped,16,1669488.0,988.0,0.000591798
4.5,static_pm_rank,1,1669488.0,3023.0,0.00181073
4.5,trace_learned,1,1669488.0,2688.0,0.00161007
4.5,static_pm_rank,2,1669488.0,1626.0,0.000973951
4.5,trace_learned,2,1669488.0,1381.0,0.0008272
4.5,static_pm_rank,3,1669488.0,1262.0,0.00075592
4.5,trace_learned,3,1669488.0,1143.0,0.000684641
4.5,static_pm_rank,4,1669488.0,1122.0,0.000672062
4.5,trace_learned,4,1669488.0,1058.0,0.000633727
4.5,static_pm_rank,8,1669488.0,1000.0,0.000598986
4.5,trace_learned,8,1669488.0,1001.0,0.000599585
