side,eval_t,snr,mean_m,bler
pm,8,2.0,1.000000,0.837667
pm,8,2.25,1.000000,0.791833
pm,8,2.5,1.000000,0.721500
pm,8,2.75,1.000000,0.660000
pm,8,3.0,1.000000,0.589600
pm,8,3.5,1.000018,0.424183
pm,8,4.0,1.000026,0.260460
pm,8,4.5,1.000036,0.128956
pm,16,2.0,1.035667,0.820667
pm,16,2.25,1.036333,0.763167
pm,16,2.5,1.040667,0.699167
pm,16,2.75,1.045667,0.628000
pm,16,3.0,1.044000,0.554000
pm,16,3.5,1.047601,0.382108
pm,16,4.0,1.045456,0.222406
pm,16,4.5,1.038804,0.104656
pm,32,2.0,1.993667,0.563333
pm,32,2.25,1.988333,0.479833
pm,32,2.5,1.980500,0.400000
pm,32,2.75,1.967167,0.293667
pm,32,3.0,1.946500,0.225400
pm,32,3.5,1.870338,0.110639
pm,32,4.0,1.737920,0.041050
pm,32,4.5,1.554840,0.011541
pm,40,2.0,2.089167,0.458500
pm,40,2.25,2.051866,0.364518
pm,40,2.5,2.043561,0.296216
pm,40,2.75,2.030667,0.214000
pm,40,3.0,2.004100,0.150100
pm,40,3.5,1.941297,0.057848
pm,40,4.0,1.845641,0.016238
pm,48,2.0,2.874333,0.311167
pm,48,3.0,2.222333,0.063000
pm,64,2.0,3.069333,0.160667
pm,64,3.0,2.036167,0.020667
pm,96,2.0,2.244333,0.107667
pm,96,2.25,1.973333,0.062500
pm,96,2.5,1.767333,0.034000
pm,96,2.75,1.641000,0.020000
pm,96,3.0,1.571200,0.007700
pm,96,3.5,1.608241,0.001465
pm,96,4.0,1.735735,0.000173
pm,96,4.5,1.823877,0.000010
pm,122,2.0,1.538333,0.083167
pm,122,3.0,1.238500,0.006833
model_out,8,2.0,8.492333,0.368000
model_out,8,2.25,8.460000,0.299500
model_out,8,2.5,8.402000,0.218667
model_out,8,2.75,8.357000,0.169667
model_out,8,3.0,8.288600,0.110800
model_out,8,3.5,8.128194,0.046246
model_out,8,4.0,7.912040,0.014468
model_out,8,4.5,7.640851,0.003292
model_out,16,2.0,8.273000,0.366833
model_out,16,2.25,8.197166,0.291000
model_out,16,2.5,8.136666,0.217333
model_out,16,2.75,8.060000,0.156333
model_out,16,3.0,7.913600,0.111400
model_out,16,3.5,7.602691,0.043093
model_out,16,4.0,7.158680,0.012974
model_out,16,4.5,6.589313,0.002791
model_out,32,2.0,5.678000,0.344000
model_out,32,2.25,5.516667,0.261833
model_out,32,2.5,5.319000,0.195167
model_out,32,2.75,4.934834,0.124500
model_out,32,3.0,4.699400,0.081600
model_out,32,3.5,3.981886,0.029469
model_out,32,4.0,3.266192,0.007430
model_out,32,4.5,2.683613,0.001441
model_out,40,2.0,4.737000,0.306667
model_out,40,2.25,4.458071,0.212797
model_out,40,2.5,4.209638,0.161993
model_out,40,2.75,3.849667,0.115333
model_out,40,3.0,3.499000,0.065300
model_out,40,3.5,2.790969,0.020704
model_out,48,2.0,3.609833,0.269667
model_out,48,3.0,2.446167,0.046833
model_out,64,2.0,2.956333,0.165000
model_out,64,3.0,1.854500,0.021500
model_out,96,2.0,2.729000,0.102500
model_out,96,2.25,2.237667,0.060667
model_out,96,2.5,1.882500,0.033667
model_out,96,2.75,1.635833,0.019667
model_out,96,3.0,1.460600,0.007100
model_out,96,3.5,1.383131,0.001465
model_out,96,4.0,1.480205,0.000166
model_out,96,4.5,1.639047,0.000009
model_out,122,2.0,2.440167,0.083167
model_out,122,3.0,1.403667,0.006833
