eval_t,snr,samples,errors,mean_m,bler
16,2.0,6000,2201,8.273000,0.366833
16,2.25,6000,1746,8.197166,0.291000
16,2.5,6000,1304,8.136666,0.217333
16,2.75,6000,938,8.060000,0.156333
16,3.0,10000,1114,7.913600,0.111400
16,4.0,1000000,12974,7.158680,0.012974
32,2.0,6000,2064,5.678000,0.344000
32,2.25,6000,1571,5.516667,0.261833
32,2.5,6000,1171,5.319000,0.195167
32,2.75,6000,747,4.934834,0.124500
32,3.0,10000,816,4.699400,0.081600
32,3.5,1000000,29469,3.981886,0.029469
32,4.0,608741,4523,3.266192,0.007430
32,4.5,1000000,1441,2.683613,0.001441
40,2.0,6000,1840,4.737000,0.306667
40,2.25,2063,439,4.458071,0.212797
40,2.5,3673,595,4.209638,0.161993
40,2.75,6000,692,3.849667,0.115333
40,3.0,10000,653,3.499000,0.065300
40,3.5,73659,1525,2.790969,0.020704
48,2.0,6000,1618,3.609833,0.269667
48,3.0,6000,281,2.446167,0.046833
64,2.0,6000,990,2.956333,0.165000
64,3.0,6000,129,1.854500,0.021500
96,2.0,6000,615,2.729000,0.102500
96,2.25,6000,364,2.237667,0.060667
96,2.5,6000,202,1.882500,0.033667
96,2.75,6000,118,1.635833,0.019667
96,3.0,10000,71,1.460600,0.007100
96,3.5,74408,109,1.383131,0.001465
96,4.0,693925,115,1.480205,0.000166
96,4.5,1000000,9,1.639047,0.000009
122,2.0,6000,499,2.440167,0.083167
122,3.0,6000,41,1.403667,0.006833
16,4.5,33511.0,100.0,6.58805,0.00298409
40,4.0,22578.0,100.0,2.2921,0.00442909
48,2.25,5452.0,1000.0,3.24688,0.183419
48,2.5,7950.0,1000.0,3.00201,0.125786
48,2.75,12922.0,1000.0,2.70724,0.0773874
8,2.0,2604.0,1000.0,8.49462,0.384025
8,2.25,3331.0,1000.0,8.44071,0.30021
8,2.5,4376.0,1000.0,8.39991,0.228519
8,2.75,6129.0,1000.0,8.36694,0.163159
48,3.5,80378.0,1000.0,2.01712,0.0124412
8,3.0,8347.0,1000.0,8.28968,0.119804
8,3.5,19314.0,1000.0,8.11852,0.0517759
8,4.0,70089.0,1000.0,7.90959,0.0142676
16,3.5,24005.0,1000.0,7.59796,0.041658
