eval_t,snr,samples,errors,mean_m,bler
8,2.0,1294.0,500.0,8.49459,0.386399
8,2.25,1674.0,500.0,8.45938,0.298686
8,2.5,2367.0,500.0,8.41149,0.211238
8,2.75,3055.0,500.0,8.33388,0.163666
8,3.0,4569.0,500.0,8.29109,0.109433
8,3.5,10571.0,500.0,8.1278,0.0472992
8,4.0,31621.0,500.0,7.91082,0.0158123
32,2.0,1441.0,500.0,5.68494,0.346981
32,2.25,1878.0,500.0,5.54792,0.266241
32,2.5,2438.0,500.0,5.27769,0.205086
32,2.75,3666.0,500.0,5.02537,0.136388
32,3.0,5684.0,500.0,4.70778,0.0879662
32,3.5,16916.0,500.0,3.97748,0.0295578
