eval_t,snr,samples,errors,mean_m,bler
8,2.0,1376.0,500.0,8.38517,0.363372
8,2.25,1668.0,500.0,8.41966,0.29976
8,2.5,2229.0,500.0,8.33468,0.224316
8,2.75,3089.0,500.0,8.292,0.161865
8,3.0,4365.0,500.0,8.22245,0.114548
8,3.5,9632.0,500.0,8.07797,0.0519103
8,4.0,33981.0,500.0,7.88123,0.0147141
8,4.5,152462.0,500.0,7.63953,0.00327951
32,2.0,1507.0,500.0,5.66821,0.331785
32,2.25,1869.0,500.0,5.44783,0.267523
32,2.5,2669.0,500.0,5.21993,0.187336
32,2.75,3614.0,500.0,4.9751,0.138351
32,3.0,5619.0,500.0,4.67201,0.0889838
32,3.5,17089.0,500.0,3.98994,0.0292586
32,4.0,60094.0,500.0,3.289,0.0083203
