eval_t,snr,samples,errors,mean_m,bler
8,2.0,1491.0,500.0,9.19182,0.335345
8,2.25,1593.0,500.0,9.11362,0.313873
8,2.5,2338.0,500.0,8.86099,0.213858
8,2.75,3324.0,500.0,8.80415,0.150421
8,3.0,4920.0,500.0,8.58211,0.101626
8,3.5,11294.0,500.0,8.00593,0.0442713
8,4.0,34321.0,500.0,7.32508,0.0145683
32,2.0,1581.0,500.0,6.64706,0.316256
32,2.25,2170.0,500.0,6.51935,0.230415
32,2.5,2888.0,500.0,5.92763,0.17313
32,2.75,4085.0,500.0,5.57748,0.122399
32,3.0,6549.0,500.0,5.07116,0.0763475
32,3.5,17654.0,500.0,4.09748,0.0283222
32,4.0,73477.0,500.0,3.29352,0.00680485
96,2.0,4431.0,500.0,1.46987,0.112841
96,2.25,6927.0,500.0,1.42139,0.0721813
96,2.5,12086.0,500.0,1.39484,0.0413702
96,2.75,22670.0,500.0,1.37975,0.0220556
96,3.0,52672.0,500.0,1.39123,0.00949271
96,3.5,280122.0,500.0,1.45634,0.00178494
96,4.0,1000000.0,207.0,1.54182,0.000207
8,4.5,157197.0,500.0,6.52159,0.00318072
32,4.5,291516.0,500.0,2.81441,0.00171517
96,4.5,1000000.0,18.0,1.65345,1.8e-05
