eval_t,snr,samples,errors,mean_m,bler
8,2.0,1378.0,500.0,8.95428,0.362845
8,2.25,1724.0,500.0,9.04814,0.290023
8,2.5,2373.0,500.0,8.70417,0.210704
8,2.75,3046.0,500.0,8.57255,0.16415
8,3.0,4575.0,500.0,8.2824,0.10929
8,3.5,9865.0,500.0,7.56716,0.0506842
8,4.0,29313.0,500.0,6.7103,0.0170573
8,4.5,99032.0,500.0,5.58758,0.00504887
32,2.0,1562.0,500.0,6.28361,0.320102
32,2.25,2034.0,500.0,5.96313,0.245821
32,2.5,2782.0,500.0,5.68045,0.179727
32,2.75,4042.0,500.0,5.20856,0.123701
32,3.0,6247.0,500.0,4.76085,0.0800384
32,3.5,17957.0,500.0,3.78387,0.0278443
32,4.0,60689.0,500.0,2.98522,0.00823873
32,4.5,207849.0,500.0,2.4778,0.00240559
96,2.0,4442.0,500.0,1.73143,0.112562
96,2.25,7038.0,500.0,1.67704,0.0710429
96,2.5,11659.0,500.0,1.62398,0.0428853
96,2.75,22624.0,500.0,1.57399,0.0221004
96,3.0,46857.0,500.0,1.53429,0.0106708
