side,snr,method,mean_m,bler
pm,2.0,adaptive,3.042333,0.171167
pm,2.0,oracle,7.644000,0.082167
pm,2.25,adaptive,2.727167,0.114500
pm,2.25,oracle,5.163333,0.049167
pm,2.5,adaptive,2.439833,0.071333
pm,2.5,oracle,3.459167,0.029333
pm,2.75,adaptive,2.221000,0.042000
pm,2.75,oracle,2.346333,0.015167
pm,3.0,adaptive,2.074800,0.022300
pm,3.0,oracle,1.731600,0.008000
pm,3.5,adaptive,1.848707,0.004828
pm,3.5,oracle,1.128131,0.001334
pm,4.0,adaptive,1.749380,0.000762
pm,4.0,oracle,1.016053,0.000155
pm,4.5,adaptive,1.645806,0.000104
pm,4.5,oracle,1.001563,0.000015
model_out,2.0,adaptive,2.958833,0.169333
model_out,2.0,oracle,7.652000,0.082500
model_out,2.25,adaptive,2.583000,0.108000
model_out,2.25,oracle,4.801667,0.044500
model_out,2.5,adaptive,2.347500,0.071667
model_out,2.5,oracle,3.456333,0.028500
model_out,2.75,adaptive,2.074333,0.038500
model_out,2.75,oracle,2.208333,0.013000
model_out,3.0,adaptive,1.863800,0.022400
model_out,3.0,oracle,1.684700,0.007600
model_out,3.5,adaptive,1.641385,0.004727
model_out,3.5,oracle,1.127763,0.001295
model_out,4.0,adaptive,1.595791,0.000693
model_out,4.0,oracle,1.017729,0.000172
model_out,4.5,adaptive,1.676128,0.000071
model_out,4.5,oracle,1.001361,0.000011
