eval_t,snr,samples,errors,mean_m,bler
40,3.0,786.0,100.0,2.01018,0.127226
40,3.5,2091.0,100.0,1.94118,0.047824
40,4.0,6253.0,100.0,1.84551,0.0159923
48,2.0,6000,1867,2.874333,0.311167
48,3.0,6000,378,2.222333,0.063000
64,2.0,6000,964,3.069333,0.160667
64,3.0,6000,124,2.036167,0.020667
96,2.0,6000,646,2.244333,0.107667
96,2.25,6000,375,1.973333,0.062500
96,2.5,6000,204,1.767333,0.034000
96,2.75,6000,120,1.641000,0.020000
96,3.0,10000,77,1.571200,0.007700
96,3.5,74408,109,1.608241,0.001465
96,4.0,693925,120,1.735735,0.000173
96,4.5,1000000,10,1.823877,0.000010
122,2.0,6000,499,1.538333,0.083167
122,3.0,6000,41,1.238500,0.006833
40,4.5,33589.0,100.0,1.70606,0.00297717
48,2.25,427.0,100.0,2.67447,0.234192
48,2.5,677.0,100.0,2.53471,0.14771
48,2.75,965.0,100.0,2.38135,0.103627
48,3.5,4961.0,100.0,2.02338,0.0201572
48,4.0,28617.0,100.0,1.85917,0.00349443
8,2.0,1213.0,1000.0,1.0,0.824402
8,2.25,1286.0,1000.0,1.0,0.777605
8,2.5,1359.0,1000.0,1.0,0.735835
8,2.75,1525.0,1000.0,1.0,0.655738
8,3.0,1668.0,1000.0,1.0,0.59952
8,3.5,2366.0,1000.0,1.0,0.422654
8,4.0,3943.0,1000.0,1.00025,0.253614
8,4.5,7777.0,1000.0,1.00013,0.128584
16,2.0,1232.0,1000.0,1.03815,0.811688
16,2.25,1338.0,1000.0,1.03587,0.747384
16,2.5,1396.0,1000.0,1.04656,0.716332
16,2.75,1580.0,1000.0,1.04367,0.632911
16,3.0,1892.0,1000.0,1.04704,0.528541
16,3.5,2566.0,1000.0,1.04443,0.389712
16,4.0,4145.0,1000.0,1.04536,0.241255
16,4.5,9597.0,1000.0,1.03824,0.104199
32,2.0,1776.0,1000.0,1.99324,0.563063
32,2.25,2069.0,1000.0,1.98985,0.483325
32,2.5,2530.0,1000.0,1.98103,0.395257
32,2.75,3304.0,1000.0,1.9655,0.302663
32,3.0,4476.0,1000.0,1.94191,0.223414
32,3.5,9144.0,1000.0,1.86363,0.109361
32,4.0,24060.0,1000.0,1.73861,0.0415628
32,4.5,86391.0,1000.0,1.5553,0.0115753
40,2.0,2169.0,1000.0,2.09774,0.461042
40,2.25,2698.0,1000.0,2.06153,0.370645
40,2.5,3667.0,1000.0,2.0499,0.272702
40,2.75,4757.0,1000.0,2.02901,0.210217
