eval_t,snr,samples,errors,mean_m,bler
8,2.0,610.0,500.0,1.0,0.819672
8,2.25,635.0,500.0,1.0,0.787402
8,2.5,673.0,500.0,1.0,0.742942
8,2.75,757.0,500.0,1.0,0.660502
8,3.0,841.0,500.0,1.0,0.59453
8,3.5,1087.0,500.0,1.0,0.459982
8,4.0,1858.0,500.0,1.0,0.269107
8,4.5,3980.0,500.0,1.0,0.125628
32,2.0,862.0,500.0,1.99652,0.580046
32,2.25,990.0,500.0,1.98485,0.505051
32,2.5,1268.0,500.0,1.98817,0.394322
32,2.75,1658.0,500.0,1.96924,0.301568
32,3.0,2161.0,500.0,1.94678,0.231374
32,3.5,4485.0,500.0,1.86867,0.111483
32,4.0,12721.0,500.0,1.73854,0.0393051
32,4.5,44368.0,500.0,1.55249,0.0112694
64,2.0,2864.0,500.0,3.04993,0.174581
64,2.25,4490.0,500.0,2.72361,0.111359
64,2.5,6958.0,500.0,2.42785,0.0718597
64,2.75,12848.0,500.0,2.21708,0.0389166
64,3.0,22646.0,500.0,2.05396,0.022079
