eval_t,snr,samples,errors,mean_m,bler
8,2.0,605.0,500.0,1.0,0.826446
8,2.25,640.0,500.0,1.0,0.78125
8,2.5,692.0,500.0,1.0,0.722543
8,2.75,751.0,500.0,1.0,0.665779
8,3.0,858.0,500.0,1.0,0.582751
8,3.5,1198.0,500.0,1.0,0.417362
8,4.0,1820.0,500.0,1.0,0.274725
8,4.5,3722.0,500.0,1.0,0.134336
32,2.0,775.0,500.0,1.20903,0.645161
32,2.25,866.0,500.0,1.18822,0.577367
32,2.5,990.0,500.0,1.1596,0.505051
32,2.75,1272.0,500.0,1.17767,0.393082
32,3.0,1576.0,500.0,1.15165,0.317259
32,3.5,2629.0,500.0,1.11069,0.190186
32,4.0,6683.0,500.0,1.06734,0.0748167
32,4.5,16531.0,500.0,1.03218,0.0302462
64,2.0,2577.0,500.0,2.59061,0.194024
64,2.25,4012.0,500.0,2.34845,0.124626
64,2.5,6579.0,500.0,2.07433,0.0759994
64,2.75,11814.0,500.0,1.86821,0.0423227
64,3.0,20457.0,500.0,1.65885,0.0244415
64,3.5,89353.0,500.0,1.36235,0.00559578
