eval_t,snr,samples,errors,mean_m,bler
8,2.0,1463.0,500.0,11.7375,0.341763
8,2.25,1778.0,500.0,11.6991,0.281215
8,2.5,2271.0,500.0,11.5046,0.220167
8,2.75,3345.0,500.0,11.4628,0.149477
8,3.0,4667.0,500.0,11.3525,0.107135
8,3.5,11159.0,500.0,11.099,0.0448069
8,4.0,32699.0,500.0,10.8385,0.015291
32,2.0,1434.0,500.0,7.17992,0.348675
32,2.25,1944.0,500.0,7.09877,0.257202
32,2.5,2740.0,500.0,6.59197,0.182482
32,2.75,3791.0,500.0,6.26537,0.131891
32,3.0,5859.0,500.0,5.83018,0.0853388
32,3.5,16063.0,500.0,4.74164,0.0311274
32,4.0,49850.0,500.0,3.67813,0.0100301
96,2.0,4561.0,500.0,1.90791,0.109625
96,2.25,7138.0,500.0,1.88904,0.0700476
96,2.5,12743.0,500.0,1.85545,0.0392372
96,2.75,23071.0,500.0,1.83902,0.0216722
96,3.0,57202.0,500.0,1.82897,0.00874095
96,3.5,304758.0,500.0,1.83793,0.00164065
96,4.0,1000000.0,196.0,1.87898,0.000196
8,4.5,139664.0,500.0,10.6665,0.00358002
32,4.5,182355.0,500.0,2.72396,0.0027419
96,4.5,1000000.0,17.0,1.9312,1.7e-05
