eval_t,snr,samples,errors,mean_m,bler
8,2.0,1266.0,500.0,10.3476,0.394945
8,2.25,1616.0,500.0,10.3849,0.309406
8,2.5,2198.0,500.0,10.273,0.22748
8,2.75,3033.0,500.0,10.18,0.164853
8,3.0,4144.0,500.0,10.0758,0.120656
8,3.5,10159.0,500.0,9.76179,0.0492174
8,4.0,28774.0,500.0,9.54216,0.0173768
8,4.5,127433.0,500.0,9.42181,0.00392363
32,2.0,1557.0,500.0,6.6641,0.32113
32,2.25,1787.0,500.0,6.42306,0.279799
32,2.5,2486.0,500.0,6.31295,0.201126
32,2.75,3410.0,500.0,6.06598,0.146628
32,3.0,5733.0,500.0,5.88435,0.0872144
32,3.5,15110.0,500.0,5.57756,0.0330907
32,4.0,48246.0,500.0,5.69848,0.0103636
32,4.5,171593.0,500.0,6.18887,0.00291387
96,2.0,4616.0,500.0,1.6159,0.108319
96,2.25,7114.0,500.0,1.54301,0.0702839
96,2.5,12247.0,500.0,1.4655,0.0408263
96,2.75,22465.0,500.0,1.40485,0.0222568
96,3.0,47951.0,500.0,1.34124,0.0104273
