snr,kind,L,M,method,samples,errors,bler
2.0,L_matched,45,11,ped_m_scl4,297.0,100.0,0.3367
2.0,L_matched,55,14,ped_m_scl4,291.0,100.0,0.343643
2.0,L_matched,95,24,ped_m_scl4,560.0,100.0,0.178571
2.0,L_matched,149,37,ped_m_scl4,667.0,100.0,0.149925
2.0,m_matched,,1,ped_m_scl4,126.0,100.0,0.793651
2.0,m_matched,,4,ped_m_scl4,159.0,100.0,0.628931
2.0,m_matched,,16,ped_m_scl4,338.0,100.0,0.295858
2.0,m_matched,,32,ped_m_scl4,549.0,100.0,0.182149
2.25,L_matched,45,11,ped_m_scl4,378.0,100.0,0.26455
2.25,L_matched,55,14,ped_m_scl4,407.0,100.0,0.2457
2.25,L_matched,95,24,ped_m_scl4,602.0,100.0,0.166113
2.25,L_matched,149,37,ped_m_scl4,1011.0,100.0,0.098912
2.25,m_matched,,1,ped_m_scl4,117.0,100.0,0.854701
2.25,m_matched,,4,ped_m_scl4,181.0,100.0,0.552486
2.25,m_matched,,16,ped_m_scl4,527.0,100.0,0.189753
2.25,m_matched,,32,ped_m_scl4,1017.0,100.0,0.0983284
2.5,L_matched,45,11,ped_m_scl4,502.0,100.0,0.199203
2.5,L_matched,55,14,ped_m_scl4,547.0,100.0,0.182815
2.5,L_matched,95,24,ped_m_scl4,1129.0,100.0,0.088574
2.5,L_matched,149,37,ped_m_scl4,1549.0,100.0,0.0645578
2.5,m_matched,,1,ped_m_scl4,126.0,100.0,0.793651
2.5,m_matched,,4,ped_m_scl4,218.0,100.0,0.458716
2.5,m_matched,,16,ped_m_scl4,630.0,100.0,0.15873
2.5,m_matched,,32,ped_m_scl4,1146.0,100.0,0.08726
2.75,L_matched,45,11,ped_m_scl4,561.0,100.0,0.178253
2.75,L_matched,55,14,ped_m_scl4,728.0,100.0,0.137363
2.75,L_matched,95,24,ped_m_scl4,1623.0,100.0,0.0616143
2.75,L_matched,149,37,ped_m_scl4,2415.0,100.0,0.0414079
2.75,m_matched,,1,ped_m_scl4,143.0,100.0,0.699301
2.75,m_matched,,4,ped_m_scl4,251.0,100.0,0.398406
2.75,m_matched,,16,ped_m_scl4,943.0,100.0,0.106045
2.75,m_matched,,32,ped_m_scl4,2084.0,100.0,0.0479846
3.0,L_matched,45,11,ped_m_scl4,954.0,100.0,0.104822
3.0,L_matched,55,14,ped_m_scl4,1388.0,100.0,0.0720461
3.0,L_matched,95,24,ped_m_scl4,2534.0,100.0,0.0394633
3.0,L_matched,149,37,ped_m_scl4,4470.0,100.0,0.0223714
3.0,m_matched,,1,ped_m_scl4,144.0,100.0,0.694444
3.0,m_matched,,4,ped_m_scl4,335.0,100.0,0.298507
3.0,m_matched,,16,ped_m_scl4,1719.0,100.0,0.0581734
3.0,m_matched,,32,ped_m_scl4,4224.0,100.0,0.0236742
3.5,L_matched,45,11,ped_m_scl4,1952.0,100.0,0.0512295
3.5,L_matched,55,14,ped_m_scl4,3678.0,100.0,0.0271887
3.5,L_matched,95,24,ped_m_scl4,9338.0,100.0,0.0107089
