snr,t,M,method,samples,errors,bler
2.0,40,27,ped_m_scl4_matched,2782.0,500.0,0.179727
2.0,122,61,ped_m_scl4_matched,5853.0,500.0,0.0854263
2.25,40,27,ped_m_scl4_matched,3593.0,500.0,0.139159
2.25,122,61,ped_m_scl4_matched,9196.0,500.0,0.0543715
2.5,40,27,ped_m_scl4_matched,6084.0,500.0,0.0821828
2.5,122,61,ped_m_scl4_matched,15805.0,500.0,0.0316356
2.75,40,27,ped_m_scl4_matched,9114.0,500.0,0.0548607
2.75,122,61,ped_m_scl4_matched,31910.0,500.0,0.0156691
3.0,40,27,ped_m_scl4_matched,15471.0,500.0,0.0323185
3.0,122,61,ped_m_scl4_matched,66026.0,500.0,0.00757277
3.5,40,27,ped_m_scl4_matched,58424.0,500.0,0.00855813
3.5,122,61,ped_m_scl4_matched,344814.0,500.0,0.00145006
4.0,40,27,ped_m_scl4_matched,270461.0,500.0,0.0018487
4.0,122,61,ped_m_scl4_matched,1500000.0,277.0,0.000184667
4.5,40,27,ped_m_scl4_matched,1000000.0,231.0,0.000231
4.5,122,61,ped_m_scl4_matched,1000000.0,12.0,1.2e-05
