snr,t,method,k,samples,errors,bler
2.0,40,static_pm_rank,8,3916.0,1053.0,0.268897
2.0,40,trace_learned,8,3916.0,1000.0,0.255363
2.0,122,static_pm_rank,8,12766.0,1000.0,0.0783331
2.0,122,trace_learned,8,12766.0,1000.0,0.0783331
2.25,40,static_pm_rank,8,5448.0,1049.0,0.192548
2.25,40,trace_learned,8,5448.0,1000.0,0.183554
2.25,122,static_pm_rank,8,19676.0,1000.0,0.0508233
2.25,122,trace_learned,8,19676.0,1000.0,0.0508233
2.5,40,static_pm_rank,8,7612.0,1017.0,0.133605
2.5,40,trace_learned,8,7612.0,1000.0,0.131372
2.5,122,static_pm_rank,8,35505.0,1000.0,0.028165
2.5,122,trace_learned,8,35505.0,1000.0,0.028165
2.75,40,static_pm_rank,8,12717.0,1032.0,0.0811512
2.75,40,trace_learned,8,12717.0,1000.0,0.0786349
2.75,122,static_pm_rank,8,67526.0,1000.0,0.0148091
2.75,122,trace_learned,8,67526.0,1000.0,0.0148091
3.0,40,static_pm_rank,8,20806.0,1038.0,0.0498895
3.0,40,trace_learned,8,20806.0,1000.0,0.0480631
3.0,122,static_pm_rank,8,131787.0,1000.0,0.007588
3.0,122,trace_learned,8,131787.0,1000.0,0.007588
3.5,40,static_pm_rank,8,76976.0,1063.0,0.0138095
3.5,40,trace_learned,8,76976.0,1000.0,0.0129911
3.5,122,static_pm_rank,8,700000.0,958.0,0.00136857
3.5,122,trace_learned,8,700000.0,958.0,0.00136857
4.0,40,static_pm_rank,8,414254.0,1082.0,0.00261192
4.0,40,trace_learned,8,414254.0,1000.0,0.00241398
