snr,t,method,k,samples,errors,bler
2.0,14,static_pm_rank,8,11854.0,5078.0,0.428379
2.0,15,static_pm_rank,8,12179.0,5402.0,0.44355
2.0,16,static_pm_rank,8,12023.0,5207.0,0.433087
2.0,17,static_pm_rank,8,12531.0,5453.0,0.435161
2.0,18,static_pm_rank,8,11646.0,5073.0,0.4356
2.0,22,static_pm_rank,8,12766.0,5477.0,0.42903
2.0,23,static_pm_rank,8,12243.0,5132.0,0.419178
2.0,24,static_pm_rank,8,11595.0,4949.0,0.426822
2.0,25,static_pm_rank,8,12077.0,5216.0,0.431895
2.0,26,static_pm_rank,8,12110.0,4881.0,0.403055
2.25,14,static_pm_rank,8,19591.0,6934.0,0.353938
2.25,15,static_pm_rank,8,20077.0,7188.0,0.358022
2.25,16,static_pm_rank,8,19440.0,7039.0,0.362088
2.25,17,static_pm_rank,8,19980.0,7135.0,0.357107
2.25,18,static_pm_rank,8,20065.0,7041.0,0.35091
2.25,22,static_pm_rank,8,19676.0,6927.0,0.352053
2.25,23,static_pm_rank,8,20002.0,6911.0,0.345515
2.25,24,static_pm_rank,8,20930.0,7262.0,0.346966
2.25,25,static_pm_rank,8,19705.0,6964.0,0.353413
2.25,26,static_pm_rank,8,20278.0,6536.0,0.32232
2.5,14,static_pm_rank,8,35379.0,9757.0,0.275785
2.5,15,static_pm_rank,8,37793.0,10537.0,0.278808
2.5,16,static_pm_rank,8,34138.0,9488.0,0.277931
2.5,17,static_pm_rank,8,36777.0,10165.0,0.276396
2.5,18,static_pm_rank,8,34398.0,9589.0,0.278766
2.5,22,static_pm_rank,8,35505.0,9519.0,0.268103
2.5,23,static_pm_rank,8,33211.0,9046.0,0.27238
2.5,24,static_pm_rank,8,37351.0,10298.0,0.275709
2.5,25,static_pm_rank,8,33865.0,9238.0,0.272789
2.5,26,static_pm_rank,8,34272.0,8500.0,0.248016
2.75,14,static_pm_rank,8,69667.0,14511.0,0.208291
2.75,15,static_pm_rank,8,68086.0,14345.0,0.210689
2.75,16,static_pm_rank,8,65442.0,13725.0,0.209728
2.75,17,static_pm_rank,8,67959.0,14317.0,0.210671
2.75,18,static_pm_rank,8,64712.0,13361.0,0.206469
2.75,22,static_pm_rank,8,67526.0,13826.0,0.204751
2.75,23,static_pm_rank,8,63321.0,12748.0,0.201323
2.75,24,static_pm_rank,8,67243.0,13482.0,0.200497
2.75,25,static_pm_rank,8,65686.0,13209.0,0.201093
2.75,26,static_pm_rank,8,68577.0,12171.0,0.177479
3.0,14,static_pm_rank,8,145319.0,22027.0,0.151577
3.0,15,static_pm_rank,8,133567.0,20320.0,0.152133
3.0,16,static_pm_rank,8,149489.0,22193.0,0.148459
3.0,17,static_pm_rank,8,134157.0,20278.0,0.151151
3.0,18,static_pm_rank,8,135942.0,20324.0,0.149505
3.0,22,static_pm_rank,8,131787.0,18794.0,0.142609
3.0,23,static_pm_rank,8,135823.0,19429.0,0.143046
3.0,24,static_pm_rank,8,133023.0,19068.0,0.143344
3.0,25,static_pm_rank,8,135641.0,19530.0,0.143983
3.0,26,static_pm_rank,8,141293.0,17308.0,0.122497
3.5,14,static_pm_rank,8,700000.0,45519.0,0.0650271
3.5,15,static_pm_rank,8,700000.0,45562.0,0.0650886
3.5,16,static_pm_rank,8,700000.0,45524.0,0.0650343
3.5,17,static_pm_rank,8,700000.0,45475.0,0.0649643
3.5,18,static_pm_rank,8,700000.0,45219.0,0.0645986
3.5,22,static_pm_rank,8,700000.0,42100.0,0.0601429
3.5,23,static_pm_rank,8,700000.0,42445.0,0.0606357
3.5,24,static_pm_rank,8,700000.0,42416.0,0.0605943
3.5,25,static_pm_rank,8,700000.0,42433.0,0.0606186
3.5,26,static_pm_rank,8,700000.0,34425.0,0.0491786
4.0,14,static_pm_rank,8,1500000.0,32623.0,0.0217487
