snr,t,method,k,samples,errors,bler
2.0,14,static_pm_rank,8,3275.0,2171.0,0.662901
2.0,15,static_pm_rank,8,3229.0,2247.0,0.695881
2.0,16,static_pm_rank,8,3169.0,2210.0,0.697381
2.0,17,static_pm_rank,8,3384.0,2309.0,0.682329
2.0,18,static_pm_rank,8,3267.0,2246.0,0.687481
2.0,22,static_pm_rank,8,3282.0,2136.0,0.650823
2.0,23,static_pm_rank,8,3229.0,2157.0,0.668009
2.0,24,static_pm_rank,8,3162.0,2057.0,0.650538
2.0,25,static_pm_rank,8,3141.0,2110.0,0.671761
2.0,26,static_pm_rank,8,3220.0,1957.0,0.607764
2.25,14,static_pm_rank,8,4315.0,2588.0,0.599768
2.25,15,static_pm_rank,8,4352.0,2643.0,0.607307
2.25,16,static_pm_rank,8,4368.0,2686.0,0.614927
2.25,17,static_pm_rank,8,4506.0,2751.0,0.610519
2.25,18,static_pm_rank,8,4363.0,2644.0,0.606005
2.25,22,static_pm_rank,8,4354.0,2519.0,0.578548
2.25,23,static_pm_rank,8,4387.0,2550.0,0.581263
2.25,24,static_pm_rank,8,4467.0,2584.0,0.578464
2.25,25,static_pm_rank,8,4476.0,2593.0,0.579312
2.25,26,static_pm_rank,8,4181.0,2147.0,0.513514
2.5,14,static_pm_rank,8,6198.0,3256.0,0.525331
2.5,15,static_pm_rank,8,5862.0,3152.0,0.5377
2.5,16,static_pm_rank,8,6020.0,3231.0,0.536711
2.5,17,static_pm_rank,8,5987.0,3213.0,0.536663
2.5,18,static_pm_rank,8,6146.0,3195.0,0.51985
2.5,22,static_pm_rank,8,6397.0,3075.0,0.480694
2.5,23,static_pm_rank,8,5807.0,2887.0,0.497159
2.5,24,static_pm_rank,8,6096.0,2900.0,0.475722
2.5,25,static_pm_rank,8,6510.0,3160.0,0.485407
2.5,26,static_pm_rank,8,6390.0,2630.0,0.411581
2.75,14,static_pm_rank,8,9043.0,4046.0,0.447418
2.75,15,static_pm_rank,8,9354.0,4228.0,0.451999
2.75,16,static_pm_rank,8,8903.0,4033.0,0.452993
2.75,17,static_pm_rank,8,9330.0,4248.0,0.455305
2.75,18,static_pm_rank,8,9275.0,4092.0,0.441186
2.75,22,static_pm_rank,8,8901.0,3607.0,0.405235
2.75,23,static_pm_rank,8,8556.0,3455.0,0.40381
2.75,24,static_pm_rank,8,8954.0,3575.0,0.399263
2.75,25,static_pm_rank,8,9188.0,3616.0,0.393557
2.75,26,static_pm_rank,8,8964.0,2918.0,0.325524
3.0,14,static_pm_rank,8,14359.0,5179.0,0.36068
3.0,15,static_pm_rank,8,13952.0,5104.0,0.365826
3.0,16,static_pm_rank,8,14342.0,5232.0,0.364803
3.0,17,static_pm_rank,8,14205.0,5000.0,0.351989
3.0,18,static_pm_rank,8,13738.0,4960.0,0.361042
3.0,22,static_pm_rank,8,14702.0,4538.0,0.308665
3.0,23,static_pm_rank,8,13520.0,4314.0,0.319083
3.0,24,static_pm_rank,8,14830.0,4717.0,0.318071
3.0,25,static_pm_rank,8,14277.0,4531.0,0.317364
3.0,26,static_pm_rank,8,13713.0,3462.0,0.252461
3.5,14,static_pm_rank,8,42121.0,8739.0,0.207474
3.5,15,static_pm_rank,8,42488.0,8771.0,0.206435
3.5,16,static_pm_rank,8,41807.0,8647.0,0.206831
3.5,17,static_pm_rank,8,42872.0,9003.0,0.209997
3.5,18,static_pm_rank,8,43618.0,8713.0,0.199757
3.5,22,static_pm_rank,8,43764.0,7328.0,0.167444
3.5,23,static_pm_rank,8,43537.0,7287.0,0.167375
3.5,24,static_pm_rank,8,39952.0,6693.0,0.167526
3.5,25,static_pm_rank,8,40723.0,6798.0,0.166933
3.5,26,static_pm_rank,8,41242.0,4857.0,0.117768
3.75,14,static_pm_rank,8,85721.0,12374.0,0.144352
3.75,15,static_pm_rank,8,85920.0,12297.0,0.143122
3.75,16,static_pm_rank,8,86264.0,12452.0,0.144348
3.75,17,static_pm_rank,8,81356.0,11830.0,0.14541
3.75,18,static_pm_rank,8,82053.0,11427.0,0.139264
3.75,22,static_pm_rank,8,76588.0,8836.0,0.115371
3.75,23,static_pm_rank,8,79373.0,9096.0,0.114598
3.75,24,static_pm_rank,8,82405.0,9277.0,0.112578
3.75,25,static_pm_rank,8,80230.0,8885.0,0.110744
3.75,26,static_pm_rank,8,82159.0,6050.0,0.0736377
4.0,14,static_pm_rank,8,177207.0,16944.0,0.095617
4.0,15,static_pm_rank,8,173088.0,16555.0,0.095645
4.0,16,static_pm_rank,8,163940.0,15777.0,0.0962364
4.0,17,static_pm_rank,8,181656.0,17198.0,0.0946734
4.0,18,static_pm_rank,8,171650.0,15597.0,0.0908651
4.0,22,static_pm_rank,8,170594.0,12198.0,0.0715031
4.0,23,static_pm_rank,8,171856.0,12234.0,0.0711875
4.0,24,static_pm_rank,8,165835.0,11793.0,0.0711129
4.0,25,static_pm_rank,8,176961.0,12104.0,0.0683993
4.0,26,static_pm_rank,8,174894.0,7601.0,0.0434606
4.25,14,static_pm_rank,8,194382.0,11558.0,0.0594602
4.25,15,static_pm_rank,8,205834.0,12254.0,0.0595334
4.25,16,static_pm_rank,8,205051.0,12053.0,0.0587805
4.25,17,static_pm_rank,8,199020.0,11927.0,0.0599287
4.25,18,static_pm_rank,8,192448.0,10735.0,0.0557813
4.25,22,static_pm_rank,8,197997.0,8355.0,0.0421976
4.25,23,static_pm_rank,8,201794.0,8496.0,0.0421023
4.25,24,static_pm_rank,8,202103.0,8512.0,0.0421171
4.25,25,static_pm_rank,8,208876.0,8379.0,0.0401147
4.25,26,static_pm_rank,8,209466.0,4819.0,0.0230061
4.5,14,static_pm_rank,8,520946.0,18084.0,0.0347138
