snr,L,M,method,samples,errors,bler
2.0,65,16,ped_m_scl4,290.0,100.0,0.344828
2.0,68,17,ped_m_scl4,355.0,100.0,0.28169
2.0,76,19,ped_m_scl4,373.0,100.0,0.268097
2.0,96,24,ped_m_scl4,506.0,100.0,0.197628
2.25,65,16,ped_m_scl4,454.0,100.0,0.220264
2.25,68,17,ped_m_scl4,486.0,100.0,0.205761
2.25,76,19,ped_m_scl4,501.0,100.0,0.199601
2.25,96,24,ped_m_scl4,637.0,100.0,0.156986
2.5,65,16,ped_m_scl4,722.0,100.0,0.138504
2.5,68,17,ped_m_scl4,664.0,100.0,0.150602
2.5,76,19,ped_m_scl4,866.0,100.0,0.115473
2.5,96,24,ped_m_scl4,1098.0,100.0,0.0910747
2.75,65,16,ped_m_scl4,905.0,100.0,0.110497
2.75,68,17,ped_m_scl4,955.0,100.0,0.104712
2.75,76,19,ped_m_scl4,1284.0,100.0,0.0778816
2.75,96,24,ped_m_scl4,1450.0,100.0,0.0689655
3.0,65,16,ped_m_scl4,1235.0,100.0,0.0809717
3.0,68,17,ped_m_scl4,1722.0,100.0,0.058072
3.0,76,19,ped_m_scl4,2096.0,100.0,0.0477099
3.0,96,24,ped_m_scl4,2530.0,100.0,0.0395257
3.5,65,16,ped_m_scl4,5137.0,100.0,0.0194666
3.5,68,17,ped_m_scl4,4264.0,100.0,0.0234522
3.5,76,19,ped_m_scl4,6476.0,100.0,0.0154416
3.5,96,24,ped_m_scl4,8745.0,100.0,0.0114351
4.0,65,16,ped_m_scl4,17089.0,100.0,0.00585172
4.0,68,17,ped_m_scl4,20270.0,100.0,0.0049334
