t,method,k,samples,bler
4,full_ped,64,12255,0.0815993
4,static_pm_rank,1,12255,0.845451
4,static_pm_rank,2,12255,0.748184
4,static_pm_rank,4,12255,0.612485
4,static_pm_rank,8,12255,0.451979
4,static_pm_rank,16,12255,0.290983
4,static_pm_rank,32,12255,0.162954
4,static_pm_rank,64,12255,0.0815993
4,trace_learned,1,12255,0.84896
4,trace_learned,2,12255,0.742064
4,trace_learned,4,12255,0.60359
4,trace_learned,8,12255,0.44031
4,trace_learned,16,12255,0.286659
4,trace_learned,32,12255,0.160996
4,trace_learned,64,12255,0.0815993
8,full_ped,64,11567,0.0864528
8,static_pm_rank,1,11567,0.838074
8,static_pm_rank,2,11567,0.739345
8,static_pm_rank,4,11567,0.599723
8,static_pm_rank,8,11567,0.439613
8,static_pm_rank,16,11567,0.290395
8,static_pm_rank,32,11567,0.170744
8,static_pm_rank,64,11567,0.0864528
8,trace_learned,1,11567,0.786807
8,trace_learned,2,11567,0.678741
8,trace_learned,4,11567,0.546987
8,trace_learned,8,11567,0.396213
8,trace_learned,16,11567,0.262211
8,trace_learned,32,11567,0.154837
8,trace_learned,64,11567,0.0864528
16,full_ped,64,12256,0.0815927
16,static_pm_rank,1,12256,0.818701
16,static_pm_rank,2,12256,0.714834
16,static_pm_rank,4,12256,0.58608
16,static_pm_rank,8,12256,0.436031
16,static_pm_rank,16,12256,0.286309
16,static_pm_rank,32,12256,0.167183
16,static_pm_rank,64,12256,0.0815927
16,trace_learned,1,12256,0.7633
16,trace_learned,2,12256,0.651599
16,trace_learned,4,12256,0.515911
16,trace_learned,8,12256,0.375163
16,trace_learned,16,12256,0.246736
16,trace_learned,32,12256,0.146704
16,trace_learned,64,12256,0.0815927
32,full_ped,64,12527,0.0798276
32,static_pm_rank,1,12527,0.673665
32,static_pm_rank,2,12527,0.562385
32,static_pm_rank,4,12527,0.439451
32,static_pm_rank,8,12527,0.316117
32,static_pm_rank,16,12527,0.204997
32,static_pm_rank,32,12527,0.123892
32,static_pm_rank,64,12527,0.0798276
32,trace_learned,1,12527,0.645965
32,trace_learned,2,12527,0.522711
32,trace_learned,4,12527,0.400734
32,trace_learned,8,12527,0.288257
32,trace_learned,16,12527,0.198132
32,trace_learned,32,12527,0.121418
32,trace_learned,64,12527,0.0798276
