snr,kind,L,M,method,samples,errors,bler
3.5,L_matched,45,11,ped_m_scl4,11633.0,500.0,0.0429812
3.5,L_matched,55,14,ped_m_scl4,17837.0,500.0,0.0280316
3.5,L_matched,95,24,ped_m_scl4,46380.0,500.0,0.0107805
3.5,L_matched,149,37,ped_m_scl4,98149.0,500.0,0.0050943
3.5,m_matched,,1,ped_m_scl4,1053.0,500.0,0.474834
3.5,m_matched,,4,ped_m_scl4,3124.0,500.0,0.160051
3.5,m_matched,,16,ped_m_scl4,21624.0,500.0,0.0231225
3.5,m_matched,,32,ped_m_scl4,76770.0,500.0,0.00651296
4.0,L_matched,45,11,ped_m_scl4,36779.0,500.0,0.0135947
4.0,L_matched,55,14,ped_m_scl4,65542.0,500.0,0.0076287
4.0,L_matched,95,24,ped_m_scl4,208395.0,500.0,0.00239929
2.0,L_matched,200,50,ped_m_scl4,4813.0,500.0,0.103885
2.25,L_matched,200,50,ped_m_scl4,7437.0,500.0,0.0672314
2.5,L_matched,200,50,ped_m_scl4,12376.0,500.0,0.0404008
2.75,L_matched,200,50,ped_m_scl4,22571.0,500.0,0.0221523
2.0,m_matched,,48,ped_m_scl4,4614.0,500.0,0.108366
2.25,m_matched,,48,ped_m_scl4,6712.0,500.0,0.0744934
2.5,m_matched,,48,ped_m_scl4,11430.0,500.0,0.0437445
2.75,m_matched,,48,ped_m_scl4,20309.0,500.0,0.0246196
3.0,L_matched,200,50,ped_m_scl4,42493.0,500.0,0.0117666
3.0,m_matched,,48,ped_m_scl4,39863.0,500.0,0.012543
3.5,L_matched,200,50,ped_m_scl4,205775.0,500.0,0.00242984
3.5,m_matched,,48,ped_m_scl4,176906.0,500.0,0.00282636
4.0,L_matched,149,37,ped_m_scl4,603420.0,500.0,0.00082861
4.0,L_matched,200,50,ped_m_scl4,1500000.0,489.0,0.000326
4.0,m_matched,,1,ped_m_scl4,1568.0,500.0,0.318878
4.0,m_matched,,4,ped_m_scl4,6556.0,500.0,0.076266
4.0,m_matched,,16,ped_m_scl4,80940.0,500.0,0.00617742
4.0,m_matched,,32,ped_m_scl4,431246.0,500.0,0.00115943
4.0,m_matched,,48,ped_m_scl4,1194863.0,500.0,0.000418458
4.5,L_matched,45,11,ped_m_scl4,171353.0,500.0,0.00291795
4.5,L_matched,55,14,ped_m_scl4,317372.0,500.0,0.00157544
4.5,L_matched,95,24,ped_m_scl4,1000000.0,339.0,0.000339
4.5,L_matched,149,37,ped_m_scl4,1000000.0,95.0,9.5e-05
4.5,L_matched,200,50,ped_m_scl4,1000000.0,31.0,3.1e-05
4.5,m_matched,,1,ped_m_scl4,2966.0,500.0,0.168577
4.5,m_matched,,4,ped_m_scl4,19209.0,500.0,0.0260295
4.5,m_matched,,16,ped_m_scl4,439141.0,500.0,0.00113859
2.0,L_matched,45,11,ped_m_scl4,2661.0,1000.0,0.375799
2.0,L_matched,55,14,ped_m_scl4,3275.0,1000.0,0.305344
2.0,L_matched,95,24,ped_m_scl4,5007.0,1000.0,0.19972
2.0,L_matched,149,37,ped_m_scl4,6904.0,1000.0,0.144844
2.0,m_matched,,1,ped_m_scl4,1187.0,1000.0,0.84246
2.0,m_matched,,4,ped_m_scl4,1650.0,1000.0,0.606061
2.0,m_matched,,16,ped_m_scl4,3533.0,1000.0,0.283046
2.0,m_matched,,32,ped_m_scl4,5762.0,1000.0,0.173551
2.25,L_matched,45,11,ped_m_scl4,3693.0,1000.0,0.270783
2.25,L_matched,55,14,ped_m_scl4,4225.0,1000.0,0.236686
2.25,L_matched,95,24,ped_m_scl4,7169.0,1000.0,0.139489
2.25,L_matched,149,37,ped_m_scl4,10804.0,1000.0,0.0925583
2.25,m_matched,,1,ped_m_scl4,1255.0,1000.0,0.796813
2.25,m_matched,,4,ped_m_scl4,1814.0,1000.0,0.551268
2.25,m_matched,,16,ped_m_scl4,4552.0,1000.0,0.219684
2.25,m_matched,,32,ped_m_scl4,8905.0,1000.0,0.112296
2.5,L_matched,45,11,ped_m_scl4,4539.0,1000.0,0.220313
2.5,L_matched,55,14,ped_m_scl4,5629.0,1000.0,0.177651
2.5,L_matched,95,24,ped_m_scl4,10366.0,1000.0,0.0964692
2.5,L_matched,149,37,ped_m_scl4,16792.0,1000.0,0.0595522
2.5,m_matched,,1,ped_m_scl4,1277.0,1000.0,0.783085
2.5,m_matched,,4,ped_m_scl4,2173.0,1000.0,0.460193
2.5,m_matched,,16,ped_m_scl4,6796.0,1000.0,0.147145
2.5,m_matched,,32,ped_m_scl4,13714.0,1000.0,0.0729182
2.75,L_matched,45,11,ped_m_scl4,6222.0,1000.0,0.16072
2.75,L_matched,55,14,ped_m_scl4,8374.0,1000.0,0.119417
2.75,L_matched,95,24,ped_m_scl4,14541.0,1000.0,0.0687711
2.75,L_matched,149,37,ped_m_scl4,26675.0,1000.0,0.0374883
2.75,m_matched,,1,ped_m_scl4,1426.0,1000.0,0.701262
2.75,m_matched,,4,ped_m_scl4,2684.0,1000.0,0.372578
2.75,m_matched,,16,ped_m_scl4,9506.0,1000.0,0.105197
2.75,m_matched,,32,ped_m_scl4,22987.0,1000.0,0.0435028
3.0,L_matched,45,11,ped_m_scl4,8977.0,1000.0,0.111396
3.0,L_matched,55,14,ped_m_scl4,12141.0,1000.0,0.0823655
3.0,L_matched,95,24,ped_m_scl4,26017.0,1000.0,0.0384364
3.0,L_matched,149,37,ped_m_scl4,48759.0,1000.0,0.020509
3.0,m_matched,,1,ped_m_scl4,1621.0,1000.0,0.616903
3.0,m_matched,,4,ped_m_scl4,3165.0,1000.0,0.315956
3.0,m_matched,,16,ped_m_scl4,14221.0,1000.0,0.0703185
3.0,m_matched,,32,ped_m_scl4,40187.0,1000.0,0.0248837
4.5,m_matched,,32,ped_m_scl4,1000000.0,153.0,0.000153
4.5,m_matched,,48,ped_m_scl4,1000000.0,38.0,3.8e-05
