snr,t,method,m,samples,errors,bler
2.0,8,static_pm_rank,1,6553.0,5453.0,0.832138
2.0,8,trace_learned,1,6553.0,5088.0,0.776438
2.0,8,static_pm_rank,4,6553.0,3917.0,0.597741
2.0,8,trace_learned,4,6553.0,3541.0,0.540363
2.0,8,static_pm_rank,16,6553.0,1836.0,0.280177
2.0,8,trace_learned,16,6553.0,1675.0,0.255608
2.0,8,static_pm_rank,32,6553.0,1055.0,0.160995
2.0,8,trace_learned,32,6553.0,1000.0,0.152602
2.25,8,static_pm_rank,1,9665.0,7524.0,0.778479
2.25,8,trace_learned,1,9665.0,7023.0,0.726643
2.25,8,static_pm_rank,4,9665.0,5019.0,0.519296
2.25,8,trace_learned,4,9665.0,4418.0,0.457113
2.25,8,static_pm_rank,16,9665.0,2152.0,0.222659
2.25,8,trace_learned,16,9665.0,1828.0,0.189136
2.25,8,static_pm_rank,32,9665.0,1083.0,0.112054
2.25,8,trace_learned,32,9665.0,1000.0,0.103466
2.5,8,static_pm_rank,1,15210.0,11131.0,0.731821
2.5,8,trace_learned,1,15210.0,9960.0,0.654832
2.5,8,static_pm_rank,4,15210.0,6784.0,0.446022
2.5,8,trace_learned,4,15210.0,5720.0,0.376068
2.5,8,static_pm_rank,16,15210.0,2398.0,0.157659
2.5,8,trace_learned,16,15210.0,2068.0,0.135963
2.5,8,static_pm_rank,32,15210.0,1103.0,0.0725181
2.5,8,trace_learned,32,15210.0,1000.0,0.0657462
2.75,8,static_pm_rank,1,26088.0,17396.0,0.66682
2.75,8,trace_learned,1,26088.0,15275.0,0.585518
2.75,8,static_pm_rank,4,26088.0,9429.0,0.361431
2.75,8,trace_learned,4,26088.0,7760.0,0.297455
2.75,8,static_pm_rank,16,26088.0,2767.0,0.106064
2.75,8,trace_learned,16,26088.0,2291.0,0.0878182
2.75,8,static_pm_rank,32,26088.0,1123.0,0.0430466
2.75,8,trace_learned,32,26088.0,1000.0,0.0383318
3.0,8,static_pm_rank,1,46524.0,27622.0,0.593715
3.0,8,trace_learned,1,46524.0,23563.0,0.50647
3.0,8,static_pm_rank,4,46524.0,13334.0,0.286605
3.0,8,trace_learned,4,46524.0,10359.0,0.222659
3.0,8,static_pm_rank,16,46524.0,3157.0,0.0678574
3.0,8,trace_learned,16,46524.0,2480.0,0.0533058
3.0,8,static_pm_rank,32,46524.0,1146.0,0.0246324
3.0,8,trace_learned,32,46524.0,1000.0,0.0214943
3.5,8,static_pm_rank,1,198443.0,84249.0,0.42455
3.5,8,trace_learned,1,198443.0,67260.0,0.338939
3.5,8,static_pm_rank,4,198443.0,30692.0,0.154664
3.5,8,trace_learned,4,198443.0,22360.0,0.112677
3.5,8,static_pm_rank,16,198443.0,4806.0,0.0242185
3.5,8,trace_learned,16,198443.0,3578.0,0.0180304
3.5,8,static_pm_rank,32,198443.0,1289.0,0.00649557
3.5,8,trace_learned,32,198443.0,1000.0,0.00503923
2.0,8,static_pm_rank,48,9262.0,1055.0,0.113906
2.0,8,trace_learned,48,9262.0,1000.0,0.107968
2.25,8,static_pm_rank,48,15528.0,1072.0,0.0690366
2.25,8,trace_learned,48,15528.0,1000.0,0.0643998
2.5,8,static_pm_rank,48,24919.0,1097.0,0.0440226
2.5,8,trace_learned,48,24919.0,1000.0,0.04013
2.75,8,static_pm_rank,48,46281.0,1142.0,0.0246754
2.75,8,trace_learned,48,46281.0,1000.0,0.0216071
3.0,8,static_pm_rank,48,88312.0,1096.0,0.0124105
3.0,8,trace_learned,48,88312.0,1000.0,0.0113235
3.5,8,static_pm_rank,48,444477.0,1152.0,0.00259181
3.5,8,trace_learned,48,444477.0,1000.0,0.00224984
4.0,8,static_pm_rank,1,1500000.0,389007.0,0.259338
4.0,8,trace_learned,1,1500000.0,286403.0,0.190935
4.0,8,static_pm_rank,4,1500000.0,101360.0,0.0675733
4.0,8,trace_learned,4,1500000.0,66237.0,0.044158
4.0,8,static_pm_rank,16,1500000.0,9253.0,0.00616867
4.0,8,trace_learned,16,1500000.0,6543.0,0.004362
4.0,8,static_pm_rank,32,1500000.0,1814.0,0.00120933
4.0,8,trace_learned,32,1500000.0,1393.0,0.000928667
4.0,8,static_pm_rank,48,1500000.0,596.0,0.000397333
4.0,8,trace_learned,48,1500000.0,520.0,0.000346667
4.5,8,static_pm_rank,1,1000000.0,129472.0,0.129472
4.5,8,trace_learned,1,1000000.0,85619.0,0.085619
4.5,8,static_pm_rank,4,1000000.0,22640.0,0.02264
4.5,8,trace_learned,4,1000000.0,13246.0,0.013246
4.5,8,static_pm_rank,16,1000000.0,1146.0,0.001146
4.5,8,trace_learned,16,1000000.0,704.0,0.000704
4.5,8,static_pm_rank,32,1000000.0,152.0,0.000152
4.5,8,trace_learned,32,1000000.0,106.0,0.000106
4.5,8,static_pm_rank,48,1000000.0,45.0,4.5e-05
4.5,8,trace_learned,48,1000000.0,33.0,3.3e-05
