snr,t,method,k,samples,block_errors,bler
2.0,all,full_ped,64,12373,1000,0.0810636
2.0,all,full_ped_m8,8,2053,1000,0.487092
2.0,32,static_pm_rank,8,12373,1000,0.321911
2.0,64,static_pm_rank,8,12373,1000,0.137477
2.0,8,static_pm_rank,8,12373,1000,0.447668
2.0,80,static_pm_rank,8,12373,1000,0.107411
2.0,96,static_pm_rank,8,12373,1000,0.0872868
2.0,32,trace_learned,8,12373,1000,0.297018
2.0,64,trace_learned,8,12373,1000,0.139336
2.0,8,trace_learned,8,12373,1000,0.390689
2.25,all,full_ped,64,19086,1000,0.052604
2.25,all,full_ped_m8,8,2483,1000,0.402739
2.25,32,static_pm_rank,8,19086,1000,0.241224
2.25,64,static_pm_rank,8,19086,1000,0.0910091
2.25,8,static_pm_rank,8,19086,1000,0.367756
2.25,80,static_pm_rank,8,19086,1000,0.0676412
2.25,96,static_pm_rank,8,19086,1000,0.0558525
2.25,32,trace_learned,8,19086,1000,0.213664
2.25,64,trace_learned,8,19086,1000,0.0906424
2.25,8,trace_learned,8,19086,1000,0.313214
2.5,all,full_ped,64,34119,1000,0.0293678
2.5,all,full_ped_m8,8,2999,1000,0.333444
2.5,32,static_pm_rank,8,34119,1000,0.17184
2.5,64,static_pm_rank,8,34119,1000,0.0534599
2.5,8,static_pm_rank,8,34119,1000,0.289223
2.5,80,static_pm_rank,8,34119,1000,0.0376916
2.5,96,static_pm_rank,8,34119,1000,0.0312729
2.5,32,trace_learned,8,34119,1000,0.151441
2.5,64,trace_learned,8,34119,1000,0.0542806
2.5,8,trace_learned,8,34119,1000,0.24098
2.75,all,full_ped,64,70273,1000,0.0142302
2.75,all,full_ped_m8,8,3941,1000,0.253743
2.75,32,static_pm_rank,8,70273,1000,0.117798
2.75,64,static_pm_rank,8,70273,1000,0.0277347
2.75,8,static_pm_rank,8,70273,1000,0.214691
2.75,80,static_pm_rank,8,70273,1000,0.0181862
2.75,96,static_pm_rank,8,70273,1000,0.0151125
2.75,32,trace_learned,8,70273,1000,0.100963
2.75,64,trace_learned,8,70273,1000,0.0278912
2.75,8,trace_learned,8,70273,1000,0.17681
3.0,all,full_ped,64,100000,686,0.00687
3.0,all,full_ped_m8,8,5706,1000,0.175254
3.0,32,static_pm_rank,8,100000,686,0.07731
3.0,64,static_pm_rank,8,100000,686,0.01386
3.0,8,static_pm_rank,8,100000,686,0.15924
3.0,80,static_pm_rank,8,100000,686,0.00857
3.0,96,static_pm_rank,8,100000,686,0.00717
3.0,32,trace_learned,8,100000,686,0.06481
3.0,64,trace_learned,8,100000,686,0.01409
3.0,8,trace_learned,8,100000,686,0.1258
3.5,all,full_ped,64,100000,142,0.00142
3.5,all,full_ped_m8,8,11344,1000,0.0881523
3.5,32,static_pm_rank,8,100000,142,0.02539
3.5,64,static_pm_rank,8,100000,142,0.00303
3.5,8,static_pm_rank,8,100000,142,0.07074
3.5,80,static_pm_rank,8,100000,142,0.00174
3.5,96,static_pm_rank,8,100000,142,0.00145
3.5,32,trace_learned,8,100000,142,0.02104
3.5,64,trace_learned,8,100000,142,0.00287
3.5,8,trace_learned,8,100000,142,0.0511
4.0,all,full_ped,64,300183,50,0.000166565
4.0,all,full_ped_m8,8,32683,1000,0.0305969
4.0,32,static_pm_rank,8,100000,21,0.0061
4.0,64,static_pm_rank,8,300183,50,0.00030648
4.0,8,static_pm_rank,8,100000,21,0.02472
4.0,80,static_pm_rank,8,300183,50,0.00017989
4.0,96,static_pm_rank,8,300183,50,0.000166565
4.0,32,trace_learned,8,100000,21,0.00446
4.0,64,trace_learned,8,300183,50,0.000326468
4.0,8,trace_learned,8,100000,21,0.01618
4.5,all,full_ped,64,4000000,48,1.2e-05
4.5,all,full_ped_m8,8,100000,860,0.0086
4.5,32,static_pm_rank,8,100000,2,0.00103
4.5,64,static_pm_rank,8,2002664,50,2.49667e-05
4.5,8,static_pm_rank,8,100000,2,0.0065
4.5,80,static_pm_rank,8,3728209,50,1.34113e-05
4.5,96,static_pm_rank,8,4000000,49,1.225e-05
4.5,32,trace_learned,8,100000,2,0.00068
4.5,64,trace_learned,8,2002664,55,2.74634e-05
4.5,8,trace_learned,8,100000,2,0.0035
