SNR=2.0 t=4 done (cached=True, samples=2235)
SNR=2.0 t=8 done (cached=True, samples=2633)
SNR=2.0 t=16 done (cached=True, samples=2662)
SNR=2.0 t=32 done (cached=True, samples=3280)
SNR=2.0 t=64 done (cached=False, samples=6961)
SNR=2.25 t=4 done (cached=True, samples=2775)
SNR=2.25 t=8 done (cached=True, samples=3087)
SNR=2.25 t=16 done (cached=True, samples=3302)
SNR=2.25 t=32 done (cached=True, samples=4548)
SNR=2.25 t=64 done (cached=False, samples=11213)
SNR=2.5 t=4 done (cached=True, samples=3496)
SNR=2.5 t=8 done (cached=True, samples=4154)
SNR=2.5 t=16 done (cached=True, samples=4548)
SNR=2.5 t=32 done (cached=True, samples=6524)
SNR=2.5 t=64 done (cached=False, samples=18726)
SNR=2.75 t=4 done (cached=True, samples=4524)
SNR=2.75 t=8 done (cached=True, samples=5843)
SNR=2.75 t=16 done (cached=True, samples=6322)
SNR=2.75 t=32 done (cached=True, samples=9813)
SNR=2.75 t=64 done (cached=False, samples=34650)
SNR=3.0 t=4 done (cached=True, samples=5882)
SNR=3.0 t=8 done (cached=True, samples=8178)
SNR=3.0 t=16 done (cached=True, samples=8962)
SNR=3.0 t=32 done (cached=True, samples=16186)
SNR=3.0 t=64 done (cached=False, samples=69662)
SNR=3.5 t=4 done (cached=True, samples=13774)
SNR=3.5 t=8 done (cached=True, samples=20050)
SNR=3.5 t=16 done (cached=True, samples=22136)
SNR=3.5 t=32 done (cached=True, samples=51699)
SNR=3.5 t=64 done (cached=False, samples=359195)
SNR=4.0 t=4 done (cached=True, samples=41632)
SNR=4.0 t=8 done (cached=True, samples=64029)
SNR=4.0 t=16 done (cached=True, samples=77760)
SNR=4.0 t=32 done (cached=True, samples=222333)
SNR=4.0 t=64 done (cached=False, samples=1500000)
SNR=4.5 t=4 done (cached=False, samples=158354)
SNR=4.5 t=8 done (cached=False, samples=307721)
SNR=4.5 t=16 done (cached=False, samples=337535)
SNR=4.5 t=32 done (cached=False, samples=1000000)
SNR=4.5 t=64 done (cached=False, samples=1000000)
updated /home/eirin/Polar_eirin_20260107/project/MClassifier/build/ebn0_sweep/t_sweep_m8_results.txt
