snr,L,M,method,samples,errors,bler
3.5,65,16,ped_m_scl4,22948.0,500.0,0.0217884
3.5,68,17,ped_m_scl4,22300.0,500.0,0.0224215
3.5,76,19,ped_m_scl4,29336.0,500.0,0.0170439
3.5,32,8,ped_m_scl4,6710.0,500.0,0.0745156
3.5,96,24,ped_m_scl4,46412.0,500.0,0.0107731
4.0,32,8,ped_m_scl4,20720.0,500.0,0.0241313
3.5,144,36,ped_m_scl4,103710.0,500.0,0.00482114
4.0,65,16,ped_m_scl4,80703.0,500.0,0.00619556
4.0,68,17,ped_m_scl4,95926.0,500.0,0.00521235
4.0,76,19,ped_m_scl4,126360.0,500.0,0.00395695
4.0,96,24,ped_m_scl4,209349.0,500.0,0.00238836
4.0,144,36,ped_m_scl4,534535.0,500.0,0.000935392
4.5,32,8,ped_m_scl4,78662.0,500.0,0.00635631
4.5,65,16,ped_m_scl4,416283.0,500.0,0.00120111
4.5,68,17,ped_m_scl4,506916.0,500.0,0.000986357
4.5,76,19,ped_m_scl4,710212.0,500.0,0.000704015
4.5,96,24,ped_m_scl4,1000000.0,338.0,0.000338
4.5,144,36,ped_m_scl4,1000000.0,100.0,0.0001
2.0,32,8,ped_m_scl4,2183.0,1000.0,0.458085
2.0,65,16,ped_m_scl4,3533.0,1000.0,0.283046
2.0,68,17,ped_m_scl4,3792.0,1000.0,0.263713
2.0,76,19,ped_m_scl4,3972.0,1000.0,0.251762
2.0,96,24,ped_m_scl4,4598.0,1000.0,0.217486
2.0,144,36,ped_m_scl4,6834.0,1000.0,0.146327
2.25,32,8,ped_m_scl4,2769.0,1000.0,0.361141
2.25,65,16,ped_m_scl4,4552.0,1000.0,0.219684
2.25,68,17,ped_m_scl4,4634.0,1000.0,0.215796
2.25,76,19,ped_m_scl4,5344.0,1000.0,0.187126
2.25,96,24,ped_m_scl4,6504.0,1000.0,0.153752
2.25,144,36,ped_m_scl4,9605.0,1000.0,0.104112
2.5,32,8,ped_m_scl4,3584.0,1000.0,0.279018
2.5,65,16,ped_m_scl4,6796.0,1000.0,0.147145
2.5,68,17,ped_m_scl4,6832.0,1000.0,0.14637
2.5,76,19,ped_m_scl4,8123.0,1000.0,0.123107
2.5,96,24,ped_m_scl4,9515.0,1000.0,0.105097
2.5,144,36,ped_m_scl4,15405.0,1000.0,0.064914
2.75,32,8,ped_m_scl4,4661.0,1000.0,0.214546
2.75,65,16,ped_m_scl4,9506.0,1000.0,0.105197
2.75,68,17,ped_m_scl4,10220.0,1000.0,0.0978474
2.75,76,19,ped_m_scl4,11801.0,1000.0,0.0847386
2.75,96,24,ped_m_scl4,16325.0,1000.0,0.0612557
2.75,144,36,ped_m_scl4,27660.0,1000.0,0.0361533
3.0,32,8,ped_m_scl4,6431.0,1000.0,0.155497
3.0,65,16,ped_m_scl4,14221.0,1000.0,0.0703185
3.0,68,17,ped_m_scl4,16016.0,1000.0,0.0624376
3.0,76,19,ped_m_scl4,17237.0,1000.0,0.0580147
3.0,96,24,ped_m_scl4,26534.0,1000.0,0.0376875
3.0,144,36,ped_m_scl4,47497.0,1000.0,0.021054
