snr,t,method,k,samples,errors,bler
2.0,4,static_pm_rank,8,2235.0,1015.0,0.454139
2.0,4,trace_learned,8,2235.0,1000.0,0.447427
2.0,8,static_pm_rank,8,2633.0,1156.0,0.439043
2.0,8,trace_learned,8,2633.0,1000.0,0.379795
2.0,16,static_pm_rank,8,2662.0,1144.0,0.429752
2.0,16,trace_learned,8,2662.0,1000.0,0.375657
2.0,32,static_pm_rank,8,3280.0,1057.0,0.322256
2.0,32,trace_learned,8,3280.0,1000.0,0.304878
2.25,4,static_pm_rank,8,2775.0,1034.0,0.372613
2.25,4,trace_learned,8,2775.0,1000.0,0.36036
2.25,8,static_pm_rank,8,3087.0,1139.0,0.368967
2.25,8,trace_learned,8,3087.0,1000.0,0.323939
2.25,16,static_pm_rank,8,3302.0,1223.0,0.370382
2.25,16,trace_learned,8,3302.0,1000.0,0.302847
2.25,32,static_pm_rank,8,4548.0,1094.0,0.240545
2.25,32,trace_learned,8,4548.0,1000.0,0.219877
2.5,4,static_pm_rank,8,3496.0,1024.0,0.292906
2.5,4,trace_learned,8,3496.0,1000.0,0.286041
2.5,8,static_pm_rank,8,4154.0,1202.0,0.28936
2.5,8,trace_learned,8,4154.0,1000.0,0.240732
2.5,16,static_pm_rank,8,4548.0,1265.0,0.278144
2.5,16,trace_learned,8,4548.0,1000.0,0.219877
2.5,32,static_pm_rank,8,6524.0,1133.0,0.173666
2.5,32,trace_learned,8,6524.0,1000.0,0.15328
2.75,4,static_pm_rank,8,4524.0,1050.0,0.232095
2.75,4,trace_learned,8,4524.0,1000.0,0.221043
2.75,8,static_pm_rank,8,5843.0,1219.0,0.208626
2.75,8,trace_learned,8,5843.0,1000.0,0.171145
2.75,16,static_pm_rank,8,6322.0,1287.0,0.203575
2.75,16,trace_learned,8,6322.0,1000.0,0.158178
2.75,32,static_pm_rank,8,9813.0,1142.0,0.116376
2.75,32,trace_learned,8,9813.0,1000.0,0.101906
3.0,4,static_pm_rank,8,5882.0,1028.0,0.17477
3.0,4,trace_learned,8,5882.0,1000.0,0.17001
3.0,8,static_pm_rank,8,8178.0,1272.0,0.155539
3.0,8,trace_learned,8,8178.0,1000.0,0.122279
3.0,16,static_pm_rank,8,8962.0,1310.0,0.146173
3.0,16,trace_learned,8,8962.0,1000.0,0.111582
3.0,32,static_pm_rank,8,16186.0,1227.0,0.0758063
3.0,32,trace_learned,8,16186.0,1000.0,0.0617818
3.5,4,static_pm_rank,8,13774.0,1037.0,0.0752868
3.5,4,trace_learned,8,13774.0,1000.0,0.0726006
3.5,8,static_pm_rank,8,20050.0,1368.0,0.0682294
3.5,8,trace_learned,8,20050.0,1000.0,0.0498753
3.5,16,static_pm_rank,8,22136.0,1471.0,0.0664528
3.5,16,trace_learned,8,22136.0,1000.0,0.0451753
3.5,32,static_pm_rank,8,51699.0,1225.0,0.0236948
3.5,32,trace_learned,8,51699.0,1000.0,0.0193427
4.0,4,static_pm_rank,8,41632.0,1000.0,0.02402
4.0,4,trace_learned,8,41632.0,1009.0,0.0242362
4.0,8,static_pm_rank,8,64029.0,1610.0,0.0251449
4.0,8,trace_learned,8,64029.0,1000.0,0.0156179
4.0,16,static_pm_rank,8,77760.0,1684.0,0.0216564
4.0,16,trace_learned,8,77760.0,1000.0,0.0128601
4.0,32,static_pm_rank,8,222333.0,1256.0,0.00564918
4.0,32,trace_learned,8,222333.0,1000.0,0.00449776
2.0,64,static_pm_rank,8,6961.0,1000.0,0.143658
2.0,64,trace_learned,8,6961.0,1001.0,0.143801
2.25,64,static_pm_rank,8,11213.0,1000.0,0.0891822
2.25,64,trace_learned,8,11213.0,1014.0,0.0904308
2.5,64,static_pm_rank,8,18726.0,1000.0,0.0534017
2.5,64,trace_learned,8,18726.0,1012.0,0.0540425
2.75,64,static_pm_rank,8,34650.0,1000.0,0.02886
2.75,64,trace_learned,8,34650.0,1005.0,0.0290043
3.0,64,static_pm_rank,8,69662.0,1000.0,0.014355
3.0,64,trace_learned,8,69662.0,1009.0,0.0144842
3.5,64,static_pm_rank,8,359195.0,1000.0,0.002784
3.5,64,trace_learned,8,359195.0,1031.0,0.00287031
4.0,64,static_pm_rank,8,1500000.0,468.0,0.000312
4.0,64,trace_learned,8,1500000.0,492.0,0.000328
4.5,4,static_pm_rank,8,158354.0,1059.0,0.00668755
4.5,4,trace_learned,8,158354.0,1000.0,0.00631497
4.5,8,static_pm_rank,8,307721.0,1905.0,0.00619067
4.5,8,trace_learned,8,307721.0,1000.0,0.0032497
4.5,16,static_pm_rank,8,337535.0,1816.0,0.00538018
4.5,16,trace_learned,8,337535.0,1000.0,0.00296266
4.5,32,static_pm_rank,8,1000000.0,961.0,0.000961
4.5,32,trace_learned,8,1000000.0,662.0,0.000662
4.5,64,static_pm_rank,8,1000000.0,29.0,2.9e-05
4.5,64,trace_learned,8,1000000.0,27.0,2.7e-05
