trial,snr,config,method,k,samples,errors,bler
1A,2.0,full_ped_m64,full_ped,64,2105.0,175.0,0.0831354
1A,2.0,prune,static_pm_rank,1,2105.0,624.0,0.296437
1A,2.0,prune,trace_learned,1,2105.0,624.0,0.296437
1A,2.0,prune,static_pm_rank,4,2105.0,383.0,0.181948
1A,2.0,prune,trace_learned,4,2105.0,391.0,0.185748
1A,2.0,prune,static_pm_rank,8,2105.0,289.0,0.137292
1A,2.0,prune,trace_learned,8,2105.0,302.0,0.143468
1A,2.0,prune,static_pm_rank,32,2105.0,200.0,0.0950119
1A,2.0,prune,trace_learned,32,2105.0,202.0,0.095962
1A,2.0,full_ped_m1,full_ped,1,200.0,200.0,1.0
1A,2.0,full_ped_m4,full_ped,4,283.0,200.0,0.706714
1A,2.0,full_ped_m32,full_ped,32,1245.0,200.0,0.160643
1B,2.0,scl4_m1,pure_scl,4,2350.0,200.0,0.0851064
1B,2.0,scl16_m1,pure_scl,16,11878.0,200.0,0.0168379
1B,2.0,scl32_m1,pure_scl,32,18384.0,200.0,0.010879
1B,2.0,scl128_m1,pure_scl,128,25546.0,200.0,0.00782901
1A,2.5,full_ped_m64,full_ped,64,6516.0,184.0,0.0282382
1A,2.5,prune,static_pm_rank,1,6516.0,958.0,0.147023
1A,2.5,prune,trace_learned,1,6516.0,945.0,0.145028
1A,2.5,prune,static_pm_rank,4,6516.0,476.0,0.073051
1A,2.5,prune,trace_learned,4,6516.0,477.0,0.0732044
1A,2.5,prune,static_pm_rank,8,6516.0,347.0,0.0532535
1A,2.5,prune,trace_learned,8,6516.0,353.0,0.0541743
1A,2.5,prune,static_pm_rank,32,6516.0,200.0,0.0306937
1A,2.5,prune,trace_learned,32,6516.0,200.0,0.0306937
1A,2.5,full_ped_m1,full_ped,1,200.0,200.0,1.0
1A,2.5,full_ped_m4,full_ped,4,409.0,200.0,0.488998
1A,2.5,full_ped_m32,full_ped,32,2561.0,200.0,0.0780945
1B,2.5,scl4_m1,pure_scl,4,6590.0,200.0,0.030349
1B,2.5,scl16_m1,pure_scl,16,56380.0,200.0,0.00354736
1B,2.5,scl32_m1,pure_scl,32,60000.0,101.0,0.00168333
1B,2.5,scl128_m1,pure_scl,128,60000.0,70.0,0.00116667
1A,3.0,full_ped_m64,full_ped,64,22219.0,177.0,0.00796616
1A,3.0,prune,static_pm_rank,1,22219.0,1155.0,0.0519825
1A,3.0,prune,trace_learned,1,22219.0,1153.0,0.0518925
1A,3.0,prune,static_pm_rank,4,22219.0,488.0,0.0219632
1A,3.0,prune,trace_learned,4,22219.0,501.0,0.0225483
1A,3.0,prune,static_pm_rank,8,22219.0,360.0,0.0162023
1A,3.0,prune,trace_learned,8,22219.0,362.0,0.0162924
1A,3.0,prune,static_pm_rank,32,22219.0,200.0,0.00900131
1A,3.0,prune,trace_learned,32,22219.0,200.0,0.00900131
1A,3.0,full_ped_m1,full_ped,1,200.0,200.0,1.0
1A,3.0,full_ped_m4,full_ped,4,541.0,200.0,0.369686
1A,3.0,full_ped_m32,full_ped,32,7543.0,200.0,0.0265146
1B,3.0,scl4_m1,pure_scl,4,26759.0,200.0,0.00747412
1B,3.0,scl16_m1,pure_scl,16,150000.0,75.0,0.0005
1B,3.0,scl32_m1,pure_scl,32,150000.0,26.0,0.000173333
1A,3.5,full_ped_m64,full_ped,64,126557.0,189.0,0.0014934
1A,3.5,prune,static_pm_rank,1,126557.0,1732.0,0.0136855
1A,3.5,prune,trace_learned,1,126557.0,1769.0,0.0139779
1A,3.5,prune,static_pm_rank,4,126557.0,535.0,0.00422734
1A,3.5,prune,trace_learned,4,126557.0,531.0,0.00419574
1A,3.5,prune,static_pm_rank,8,126557.0,351.0,0.00277345
1A,3.5,prune,trace_learned,8,126557.0,349.0,0.00275765
1A,3.5,prune,static_pm_rank,32,126557.0,200.0,0.00158032
1A,3.5,prune,trace_learned,32,126557.0,200.0,0.00158032
1A,3.5,full_ped_m1,full_ped,1,200.0,200.0,1.0
1A,3.5,full_ped_m4,full_ped,4,921.0,200.0,0.217155
1A,3.5,full_ped_m32,full_ped,32,33001.0,200.0,0.00606042
1B,3.5,scl4_m1,pure_scl,4,143923.0,200.0,0.00138963
1B,3.5,scl16_m1,pure_scl,16,400000.0,11.0,2.75e-05
1B,3.5,scl32_m1,pure_scl,32,400000.0,4.0,1e-05
