SNR=2.0 t=21 done (cached=False, samples=19811)
SNR=2.25 t=21 done (cached=False, samples=28471)
SNR=2.5 t=21 done (cached=False, samples=39025)
SNR=2.75 t=21 done (cached=False, samples=58254)
SNR=3.0 t=21 done (cached=False, samples=83197)
SNR=3.5 t=21 done (cached=False, samples=190201)
SNR=4.0 t=21 done (cached=False, samples=501889)
SNR=4.5 t=21 done (cached=False, samples=1809311)
SNR=2.0 t=22 done (cached=False, samples=20405)
SNR=2.25 t=22 done (cached=False, samples=28934)
SNR=2.5 t=22 done (cached=False, samples=37047)
SNR=2.75 t=22 done (cached=False, samples=54065)
SNR=3.0 t=22 done (cached=False, samples=80556)
SNR=3.5 t=22 done (cached=False, samples=195735)
SNR=4.0 t=22 done (cached=False, samples=528100)
SNR=4.5 t=22 done (cached=False, samples=1706453)
SNR=2.0 t=23 done (cached=False, samples=20746)
SNR=2.25 t=23 done (cached=False, samples=27635)
SNR=2.5 t=23 done (cached=False, samples=37979)
SNR=2.75 t=23 done (cached=False, samples=54085)
SNR=3.0 t=23 done (cached=False, samples=82766)
SNR=3.5 t=23 done (cached=False, samples=189165)
SNR=4.0 t=23 done (cached=False, samples=554283)
SNR=4.5 t=23 done (cached=False, samples=1637045)
updated /home/eirin/Polar_eirin_20260107/project/MClassifier/Golay24/build/sweep/golay_t_sweep_m2_single_results.txt and /home/eirin/Polar_eirin_20260107/project/MClassifier/Golay24/build/sweep/golay_t_sweep_m2_cumulative_results.txt
