imported 7 full_ped rows from golay_trace_vs_static_results.txt
SNR=2.0 pure_scl8 done (cached=False, samples=20652)
SNR=2.25 pure_scl8 done (cached=False, samples=27024)
SNR=2.5 pure_scl8 done (cached=False, samples=38511)
SNR=2.75 pure_scl8 done (cached=False, samples=54977)
SNR=3.0 pure_scl8 done (cached=False, samples=76711)
SNR=3.5 pure_scl8 done (cached=False, samples=199532)
SNR=4.0 pure_scl8 done (cached=False, samples=520980)
SNR=4.5 pure_scl8 done (cached=False, samples=1733056)
SNR=2.0 pure_sc done (cached=False, samples=4018)
SNR=2.25 pure_sc done (cached=False, samples=4527)
SNR=2.5 pure_sc done (cached=False, samples=5551)
SNR=2.75 pure_sc done (cached=False, samples=6553)
SNR=3.0 pure_sc done (cached=False, samples=8346)
SNR=3.5 pure_sc done (cached=False, samples=12781)
SNR=4.0 pure_sc done (cached=False, samples=21451)
SNR=4.5 pure_sc done (cached=False, samples=40741)
SNR=2.0 t=4 done (cached=False, samples=14985)
SNR=2.25 t=4 done (cached=False, samples=20028)
SNR=2.5 t=4 done (cached=False, samples=29930)
SNR=2.75 t=4 done (cached=False, samples=37663)
SNR=3.0 t=4 done (cached=False, samples=52928)
SNR=3.5 t=4 done (cached=False, samples=118122)
SNR=4.0 t=4 done (cached=False, samples=296944)
SNR=4.5 t=4 done (cached=False, samples=829375)
SNR=2.0 t=8 done (cached=False, samples=17393)
SNR=2.25 t=8 done (cached=False, samples=22734)
SNR=2.5 t=8 done (cached=False, samples=32275)
SNR=2.75 t=8 done (cached=False, samples=48027)
SNR=3.0 t=8 done (cached=False, samples=63083)
SNR=3.5 t=8 done (cached=False, samples=142471)
SNR=4.0 t=8 done (cached=False, samples=386214)
SNR=4.5 t=8 done (cached=False, samples=1197239)
SNR=2.0 t=16 done (cached=False, samples=14916)
SNR=2.25 t=16 done (cached=False, samples=18527)
SNR=2.5 t=16 done (cached=False, samples=26105)
SNR=2.75 t=16 done (cached=False, samples=37320)
SNR=3.0 t=16 done (cached=False, samples=54805)
SNR=3.5 t=16 done (cached=False, samples=110718)
SNR=4.0 t=16 done (cached=False, samples=282575)
SNR=4.5 t=16 done (cached=False, samples=786631)
SNR=2.0 t=20 done (cached=False, samples=14984)
SNR=2.25 t=20 done (cached=False, samples=19575)
SNR=2.5 t=20 done (cached=False, samples=26849)
SNR=2.75 t=20 done (cached=False, samples=36992)
SNR=3.0 t=20 done (cached=False, samples=52951)
SNR=3.5 t=20 done (cached=False, samples=118323)
SNR=4.0 t=20 done (cached=False, samples=275676)
SNR=4.5 t=20 done (cached=False, samples=800417)
updated /home/eirin/Polar_eirin_20260107/project/MClassifier/Golay24/build/sweep/golay_t_sweep_m2_results.txt
