imported 32 reference rows from golay_t_sweep_m2_single_results.txt
SNR=2.0 t=4 done (cached=False, samples=14898)
SNR=2.25 t=4 done (cached=False, samples=19061)
SNR=2.5 t=4 done (cached=False, samples=26125)
SNR=2.75 t=4 done (cached=False, samples=35189)
SNR=3.0 t=4 done (cached=False, samples=53577)
SNR=3.5 t=4 done (cached=False, samples=117815)
SNR=4.0 t=4 done (cached=False, samples=287778)
SNR=4.5 t=4 done (cached=False, samples=866069)
SNR=2.0 t=8 done (cached=False, samples=17173)
SNR=2.25 t=8 done (cached=False, samples=23400)
SNR=2.5 t=8 done (cached=False, samples=31320)
SNR=2.75 t=8 done (cached=False, samples=43207)
SNR=3.0 t=8 done (cached=False, samples=64805)
SNR=3.5 t=8 done (cached=False, samples=140673)
SNR=4.0 t=8 done (cached=False, samples=397657)
SNR=4.5 t=8 done (cached=False, samples=1228773)
SNR=2.0 t=16 done (cached=False, samples=16831)
SNR=2.25 t=16 done (cached=False, samples=20135)
SNR=2.5 t=16 done (cached=False, samples=27754)
SNR=2.75 t=16 done (cached=False, samples=39495)
SNR=3.0 t=16 done (cached=False, samples=55764)
SNR=3.5 t=16 done (cached=False, samples=128581)
SNR=4.0 t=16 done (cached=False, samples=351778)
SNR=4.5 t=16 done (cached=False, samples=990123)
SNR=2.0 t=20 done (cached=False, samples=16703)
SNR=2.25 t=20 done (cached=False, samples=21863)
SNR=2.5 t=20 done (cached=False, samples=29326)
SNR=2.75 t=20 done (cached=False, samples=42933)
SNR=3.0 t=20 done (cached=False, samples=58653)
SNR=3.5 t=20 done (cached=False, samples=144073)
SNR=4.0 t=20 done (cached=False, samples=369394)
SNR=4.5 t=20 done (cached=False, samples=1146784)
updated /home/eirin/Polar_eirin_20260107/project/MClassifier/Golay24/build/sweep/golay_t_sweep_m2_cumulative_results.txt
