snr,method,m,samples,errors,bler
2.0,full_ped,64,3000.0,151.0,0.0503333
2.0,static_pm_rank,1,3000.0,151.0,0.0503333
2.0,static_pm_rank,4,3000.0,151.0,0.0503333
2.0,static_pm_rank,8,3000.0,151.0,0.0503333
2.0,static_pm_rank,16,3000.0,151.0,0.0503333
2.0,static_pm_rank,32,3000.0,151.0,0.0503333
2.25,full_ped,64,5000.0,165.0,0.033
2.25,static_pm_rank,1,5000.0,165.0,0.033
2.25,static_pm_rank,4,5000.0,165.0,0.033
2.25,static_pm_rank,8,5000.0,165.0,0.033
2.25,static_pm_rank,16,5000.0,165.0,0.033
2.25,static_pm_rank,32,5000.0,165.0,0.033
2.5,full_ped,64,7698.0,200.0,0.0259808
2.5,static_pm_rank,1,7698.0,200.0,0.0259808
2.5,static_pm_rank,4,7698.0,200.0,0.0259808
2.5,static_pm_rank,8,7698.0,200.0,0.0259808
2.5,static_pm_rank,16,7698.0,200.0,0.0259808
2.5,static_pm_rank,32,7698.0,200.0,0.0259808
2.75,full_ped,64,11694.0,200.0,0.0171028
2.75,static_pm_rank,1,11694.0,200.0,0.0171028
2.75,static_pm_rank,4,11694.0,200.0,0.0171028
2.75,static_pm_rank,8,11694.0,200.0,0.0171028
2.75,static_pm_rank,16,11694.0,200.0,0.0171028
2.75,static_pm_rank,32,11694.0,200.0,0.0171028
3.0,full_ped,64,16576.0,200.0,0.0120656
3.0,static_pm_rank,1,16576.0,200.0,0.0120656
3.0,static_pm_rank,4,16576.0,200.0,0.0120656
3.0,static_pm_rank,8,16576.0,200.0,0.0120656
3.0,static_pm_rank,16,16576.0,200.0,0.0120656
3.0,static_pm_rank,32,16576.0,200.0,0.0120656
2.0,pure_scl8,1,3000.0,136.0,0.0453333
2.25,pure_scl8,1,5000.0,194.0,0.0388
2.5,pure_scl8,1,6398.0,200.0,0.0312598
2.75,pure_scl8,1,12000.0,199.0,0.0165833
3.0,pure_scl8,1,16651.0,200.0,0.0120113
3.5,pure_scl8,1,38376.0,200.0,0.00521159
4.0,pure_scl8,1,80000.0,153.0,0.0019125
4.5,pure_scl8,1,150000.0,95.0,0.000633333
3.5,full_ped,64,37746.0,200.0,0.00529857
3.5,static_pm_rank,1,37746.0,200.0,0.00529857
3.5,static_pm_rank,4,37746.0,200.0,0.00529857
3.5,static_pm_rank,8,37746.0,200.0,0.00529857
3.5,static_pm_rank,16,37746.0,200.0,0.00529857
3.5,static_pm_rank,32,37746.0,200.0,0.00529857
