snr,method,m,samples,errors,bler
2.0,full_ped,16,8000.0,393.0,0.049125
2.0,static_pm_rank,1,8000.0,625.0,0.078125
2.0,static_pm_rank,2,8000.0,477.0,0.059625
2.0,static_pm_rank,3,8000.0,428.0,0.0535
2.0,static_pm_rank,4,8000.0,406.0,0.05075
2.0,static_pm_rank,8,8000.0,392.0,0.049
2.25,full_ped,16,12000.0,428.0,0.0356667
2.25,static_pm_rank,1,12000.0,757.0,0.0630833
2.25,static_pm_rank,2,12000.0,554.0,0.0461667
2.25,static_pm_rank,3,12000.0,509.0,0.0424167
2.25,static_pm_rank,4,12000.0,485.0,0.0404167
2.25,static_pm_rank,8,12000.0,439.0,0.0365833
2.5,full_ped,16,18547.0,492.0,0.0265272
2.5,static_pm_rank,1,18547.0,880.0,0.047447
2.5,static_pm_rank,2,18547.0,664.0,0.0358009
2.5,static_pm_rank,3,18547.0,575.0,0.0310023
2.5,static_pm_rank,4,18547.0,540.0,0.0291152
2.5,static_pm_rank,8,18547.0,500.0,0.0269585
2.75,full_ped,16,27414.0,501.0,0.0182753
2.75,static_pm_rank,1,27414.0,1013.0,0.0369519
2.75,static_pm_rank,2,27414.0,696.0,0.0253885
2.75,static_pm_rank,3,27414.0,588.0,0.0214489
2.75,static_pm_rank,4,27414.0,539.0,0.0196615
2.75,static_pm_rank,8,27414.0,500.0,0.0182389
3.0,full_ped,16,35820.0,488.0,0.0136237
3.0,static_pm_rank,1,35820.0,895.0,0.024986
3.0,static_pm_rank,2,35820.0,647.0,0.0180625
3.0,static_pm_rank,3,35820.0,563.0,0.0157175
3.0,static_pm_rank,4,35820.0,533.0,0.01488
3.0,static_pm_rank,8,35820.0,500.0,0.0139587
3.5,full_ped,16,97611.0,493.0,0.00505066
3.5,static_pm_rank,1,97611.0,1150.0,0.0117815
3.5,static_pm_rank,2,97611.0,734.0,0.00751964
3.5,static_pm_rank,3,97611.0,624.0,0.00639272
3.5,static_pm_rank,4,97611.0,569.0,0.00582926
3.5,static_pm_rank,8,97611.0,500.0,0.00512237
