snr,method,m,samples,errors,bler
2.0,full_ped,16,8000.0,388.0,0.0485
2.0,static_pm_rank,1,8000.0,654.0,0.08175
2.0,trace_learned,1,8000.0,602.0,0.07525
2.0,static_pm_rank,2,8000.0,495.0,0.061875
2.0,trace_learned,2,8000.0,451.0,0.056375
2.0,static_pm_rank,3,8000.0,443.0,0.055375
2.0,trace_learned,3,8000.0,420.0,0.0525
2.0,static_pm_rank,4,8000.0,417.0,0.052125
2.0,trace_learned,4,8000.0,411.0,0.051375
2.0,static_pm_rank,8,8000.0,391.0,0.048875
2.0,trace_learned,8,8000.0,389.0,0.048625
2.25,full_ped,16,12000.0,403.0,0.0335833
2.25,static_pm_rank,1,12000.0,743.0,0.0619167
2.25,trace_learned,1,12000.0,685.0,0.0570833
2.25,static_pm_rank,2,12000.0,531.0,0.04425
2.25,trace_learned,2,12000.0,490.0,0.0408333
2.25,static_pm_rank,3,12000.0,468.0,0.039
2.25,trace_learned,3,12000.0,442.0,0.0368333
2.25,static_pm_rank,4,12000.0,436.0,0.0363333
2.25,trace_learned,4,12000.0,430.0,0.0358333
2.25,static_pm_rank,8,12000.0,409.0,0.0340833
2.25,trace_learned,8,12000.0,408.0,0.034
2.5,full_ped,16,20000.0,540.0,0.027
2.5,static_pm_rank,1,20000.0,981.0,0.04905
2.5,trace_learned,1,20000.0,871.0,0.04355
2.5,static_pm_rank,2,20000.0,703.0,0.03515
2.5,trace_learned,2,20000.0,653.0,0.03265
2.5,static_pm_rank,3,20000.0,621.0,0.03105
2.5,trace_learned,3,20000.0,579.0,0.02895
2.5,static_pm_rank,4,20000.0,582.0,0.0291
2.5,trace_learned,4,20000.0,568.0,0.0284
2.5,static_pm_rank,8,20000.0,542.0,0.0271
2.5,trace_learned,8,20000.0,544.0,0.0272
2.75,full_ped,16,35000.0,618.0,0.0176571
2.75,static_pm_rank,1,35000.0,1247.0,0.0356286
2.75,trace_learned,1,35000.0,1123.0,0.0320857
2.75,static_pm_rank,2,35000.0,879.0,0.0251143
2.75,trace_learned,2,35000.0,787.0,0.0224857
2.75,static_pm_rank,3,35000.0,745.0,0.0212857
2.75,trace_learned,3,35000.0,708.0,0.0202286
2.75,static_pm_rank,4,35000.0,686.0,0.0196
2.75,trace_learned,4,35000.0,666.0,0.0190286
2.75,static_pm_rank,8,35000.0,628.0,0.0179429
2.75,trace_learned,8,35000.0,628.0,0.0179429
3.0,full_ped,16,60000.0,746.0,0.0124333
3.0,static_pm_rank,1,60000.0,1515.0,0.02525
3.0,trace_learned,1,60000.0,1280.0,0.0213333
3.0,static_pm_rank,2,60000.0,1035.0,0.01725
3.0,trace_learned,2,60000.0,924.0,0.0154
3.0,static_pm_rank,3,60000.0,877.0,0.0146167
3.0,trace_learned,3,60000.0,826.0,0.0137667
3.0,static_pm_rank,4,60000.0,817.0,0.0136167
3.0,trace_learned,4,60000.0,785.0,0.0130833
3.0,static_pm_rank,8,60000.0,760.0,0.0126667
3.0,trace_learned,8,60000.0,757.0,0.0126167
3.5,full_ped,16,130000.0,663.0,0.0051
3.5,static_pm_rank,1,130000.0,1570.0,0.0120769
3.5,trace_learned,1,130000.0,1365.0,0.0105
3.5,static_pm_rank,2,130000.0,974.0,0.00749231
3.5,trace_learned,2,130000.0,855.0,0.00657692
3.5,static_pm_rank,3,130000.0,820.0,0.00630769
3.5,trace_learned,3,130000.0,742.0,0.00570769
3.5,static_pm_rank,4,130000.0,744.0,0.00572308
3.5,trace_learned,4,130000.0,701.0,0.00539231
3.5,static_pm_rank,8,130000.0,669.0,0.00514615
3.5,trace_learned,8,130000.0,666.0,0.00512308
4.0,full_ped,16,300000.0,562.0,0.00187333
4.0,static_pm_rank,1,300000.0,1497.0,0.00499
4.0,trace_learned,1,300000.0,1318.0,0.00439333
4.0,static_pm_rank,2,300000.0,881.0,0.00293667
4.0,trace_learned,2,300000.0,758.0,0.00252667
4.0,static_pm_rank,3,300000.0,709.0,0.00236333
4.0,trace_learned,3,300000.0,661.0,0.00220333
4.0,static_pm_rank,4,300000.0,646.0,0.00215333
4.0,trace_learned,4,300000.0,614.0,0.00204667
4.0,static_pm_rank,8,300000.0,581.0,0.00193667
4.0,trace_learned,8,300000.0,575.0,0.00191667
