snr,method,m,samples,errors,bler
2.0,full_ped,16,8000.0,393.0,0.049125
2.0,static_pm_rank,1,8000.0,625.0,0.078125
2.0,static_pm_rank,2,8000.0,477.0,0.059625
2.0,static_pm_rank,3,8000.0,428.0,0.0535
2.0,static_pm_rank,4,8000.0,406.0,0.05075
2.0,static_pm_rank,8,8000.0,392.0,0.049
2.25,full_ped,16,12000.0,428.0,0.0356667
2.25,static_pm_rank,1,12000.0,757.0,0.0630833
2.25,static_pm_rank,2,12000.0,554.0,0.0461667
2.25,static_pm_rank,3,12000.0,509.0,0.0424167
2.25,static_pm_rank,4,12000.0,485.0,0.0404167
2.25,static_pm_rank,8,12000.0,439.0,0.0365833
2.5,full_ped,16,20000.0,528.0,0.0264
2.5,static_pm_rank,1,20000.0,949.0,0.04745
2.5,static_pm_rank,2,20000.0,720.0,0.036
2.5,static_pm_rank,3,20000.0,621.0,0.03105
2.5,static_pm_rank,4,20000.0,585.0,0.02925
2.5,static_pm_rank,8,20000.0,537.0,0.02685
2.75,full_ped,16,35000.0,635.0,0.0181429
2.75,static_pm_rank,1,35000.0,1263.0,0.0360857
2.75,static_pm_rank,2,35000.0,882.0,0.0252
2.75,static_pm_rank,3,35000.0,743.0,0.0212286
2.75,static_pm_rank,4,35000.0,690.0,0.0197143
2.75,static_pm_rank,8,35000.0,637.0,0.0182
3.0,full_ped,16,60000.0,781.0,0.0130167
3.0,static_pm_rank,1,60000.0,1499.0,0.0249833
3.0,static_pm_rank,2,60000.0,1059.0,0.01765
3.0,static_pm_rank,3,60000.0,912.0,0.0152
3.0,static_pm_rank,4,60000.0,855.0,0.01425
3.0,static_pm_rank,8,60000.0,797.0,0.0132833
3.5,full_ped,16,130000.0,642.0,0.00493846
3.5,static_pm_rank,1,130000.0,1532.0,0.0117846
3.5,static_pm_rank,2,130000.0,977.0,0.00751538
3.5,static_pm_rank,3,130000.0,812.0,0.00624615
3.5,static_pm_rank,4,130000.0,744.0,0.00572308
3.5,static_pm_rank,8,130000.0,651.0,0.00500769
4.0,full_ped,16,300000.0,537.0,0.00179
4.0,static_pm_rank,1,300000.0,1501.0,0.00500333
4.0,static_pm_rank,2,300000.0,885.0,0.00295
4.0,static_pm_rank,3,300000.0,703.0,0.00234333
4.0,static_pm_rank,4,300000.0,625.0,0.00208333
4.0,static_pm_rank,8,300000.0,546.0,0.00182
4.5,full_ped,16,600000.0,377.0,0.000628333
4.5,static_pm_rank,1,600000.0,1082.0,0.00180333
4.5,static_pm_rank,2,600000.0,583.0,0.000971667
4.5,static_pm_rank,3,600000.0,483.0,0.000805
4.5,static_pm_rank,4,600000.0,430.0,0.000716667
4.5,static_pm_rank,8,600000.0,382.0,0.000636667
