snr,method,m,samples,errors,bler
2.0,pure_scl8,1,3000.0,136.0,0.0453333
2.25,pure_scl8,1,5000.0,194.0,0.0388
2.5,pure_scl8,1,8000.0,250.0,0.03125
2.0,full_ped,64,3000.0,151.0,0.0503333
2.0,static_pm_rank,1,3000.0,151.0,0.0503333
2.0,static_pm_rank,4,3000.0,151.0,0.0503333
2.0,static_pm_rank,8,3000.0,151.0,0.0503333
2.0,static_pm_rank,16,3000.0,151.0,0.0503333
2.0,static_pm_rank,32,3000.0,151.0,0.0503333
2.75,pure_scl8,1,12000.0,199.0,0.0165833
3.0,pure_scl8,1,20000.0,241.0,0.01205
3.5,pure_scl8,1,40000.0,205.0,0.005125
4.0,pure_scl8,1,80000.0,153.0,0.0019125
4.5,pure_scl8,1,150000.0,95.0,0.000633333
2.25,full_ped,64,5000.0,165.0,0.033
2.25,static_pm_rank,1,5000.0,165.0,0.033
2.25,static_pm_rank,4,5000.0,165.0,0.033
2.25,static_pm_rank,8,5000.0,165.0,0.033
2.25,static_pm_rank,16,5000.0,165.0,0.033
2.25,static_pm_rank,32,5000.0,165.0,0.033
2.5,full_ped,64,8000.0,210.0,0.02625
2.5,static_pm_rank,1,8000.0,210.0,0.02625
2.5,static_pm_rank,4,8000.0,210.0,0.02625
2.5,static_pm_rank,8,8000.0,210.0,0.02625
2.5,static_pm_rank,16,8000.0,210.0,0.02625
2.5,static_pm_rank,32,8000.0,210.0,0.02625
2.75,full_ped,64,12000.0,213.0,0.01775
2.75,static_pm_rank,1,12000.0,213.0,0.01775
2.75,static_pm_rank,4,12000.0,213.0,0.01775
2.75,static_pm_rank,8,12000.0,213.0,0.01775
2.75,static_pm_rank,16,12000.0,213.0,0.01775
2.75,static_pm_rank,32,12000.0,213.0,0.01775
3.0,full_ped,64,20000.0,245.0,0.01225
3.0,static_pm_rank,1,20000.0,245.0,0.01225
3.0,static_pm_rank,4,20000.0,245.0,0.01225
3.0,static_pm_rank,8,20000.0,245.0,0.01225
3.0,static_pm_rank,16,20000.0,245.0,0.01225
3.0,static_pm_rank,32,20000.0,245.0,0.01225
3.5,full_ped,64,40000.0,210.0,0.00525
3.5,static_pm_rank,1,40000.0,210.0,0.00525
3.5,static_pm_rank,4,40000.0,210.0,0.00525
3.5,static_pm_rank,8,40000.0,210.0,0.00525
3.5,static_pm_rank,16,40000.0,210.0,0.00525
3.5,static_pm_rank,32,40000.0,210.0,0.00525
