snr,method,t,m,samples,errors,bler
2.0,full_ped,,16,20198.0,995.0,0.0492623
2.25,full_ped,,16,27471.0,998.0,0.0363292
2.5,full_ped,,16,37783.0,985.0,0.0260699
2.75,full_ped,,16,53851.0,991.0,0.0184026
3.0,full_ped,,16,80303.0,989.0,0.0123159
3.5,full_ped,,16,200690.0,995.0,0.0049579
4.0,full_ped,,16,556742.0,985.0,0.00176922
2.0,pure_scl8,,1,20652.0,1000.0,0.0484215
2.25,pure_scl8,,1,27024.0,1000.0,0.0370041
2.5,pure_scl8,,1,38511.0,1000.0,0.0259666
2.75,pure_scl8,,1,54977.0,1000.0,0.0181894
3.0,pure_scl8,,1,76711.0,1000.0,0.0130359
3.5,pure_scl8,,1,199532.0,1000.0,0.00501173
4.0,pure_scl8,,1,520980.0,1000.0,0.00191946
4.5,full_ped,,16,1669488.0,988.0,0.000591798
4.5,pure_scl8,,1,1733056.0,1000.0,0.000577015
2.0,pure_sc,,1,4018.0,1000.0,0.24888
2.25,pure_sc,,1,4527.0,1000.0,0.220897
2.5,pure_sc,,1,5551.0,1000.0,0.180148
2.75,pure_sc,,1,6553.0,1000.0,0.152602
3.0,pure_sc,,1,8346.0,1000.0,0.119818
3.5,pure_sc,,1,12781.0,1000.0,0.0782411
4.0,pure_sc,,1,21451.0,1000.0,0.0466179
4.5,pure_sc,,1,40741.0,1000.0,0.0245453
2.0,pure_scl2,,1,9548.0,1000.0,0.104734
2.25,pure_scl2,,1,12037.0,1000.0,0.0830772
2.5,pure_scl2,,1,16125.0,1000.0,0.0620155
2.75,pure_scl2,,1,20541.0,1000.0,0.0486831
3.0,pure_scl2,,1,27692.0,1000.0,0.0361115
3.5,pure_scl2,,1,56552.0,1000.0,0.0176828
4.0,pure_scl2,,1,124139.0,1000.0,0.00805549
4.5,pure_scl2,,1,311945.0,1000.0,0.00320569
2.0,static_pm_rank,4,4,19567.0,1077.0,0.0550417
2.0,trace_learned,4,4,19567.0,1082.0,0.0552972
2.0,static_pm_rank,4,8,19567.0,1000.0,0.0511065
2.0,trace_learned,4,8,19567.0,1004.0,0.0513109
2.25,static_pm_rank,4,4,27498.0,1073.0,0.039021
2.25,trace_learned,4,4,27498.0,1077.0,0.0391665
2.25,static_pm_rank,4,8,27498.0,1000.0,0.0363663
2.25,trace_learned,4,8,27498.0,1001.0,0.0364026
2.5,static_pm_rank,4,4,39598.0,1101.0,0.0278044
2.5,trace_learned,4,4,39598.0,1093.0,0.0276024
2.5,static_pm_rank,4,8,39598.0,1003.0,0.0253296
2.5,trace_learned,4,8,39598.0,1000.0,0.0252538
2.75,static_pm_rank,4,4,54930.0,1102.0,0.0200619
2.75,trace_learned,4,4,54930.0,1102.0,0.0200619
2.75,static_pm_rank,4,8,54930.0,1000.0,0.018205
2.75,trace_learned,4,8,54930.0,1005.0,0.018296
3.0,static_pm_rank,4,4,81587.0,1104.0,0.0135316
3.0,trace_learned,4,4,81587.0,1114.0,0.0136541
3.0,static_pm_rank,4,8,81587.0,1000.0,0.0122569
3.0,trace_learned,4,8,81587.0,1006.0,0.0123304
3.5,static_pm_rank,4,4,185980.0,1126.0,0.00605441
3.5,trace_learned,4,4,185980.0,1131.0,0.0060813
3.5,static_pm_rank,4,8,185980.0,1009.0,0.00542531
3.5,trace_learned,4,8,185980.0,1000.0,0.00537692
4.0,static_pm_rank,4,4,531204.0,1141.0,0.00214795
4.0,trace_learned,4,4,531204.0,1135.0,0.00213666
4.0,static_pm_rank,4,8,531204.0,1000.0,0.00188252
4.0,trace_learned,4,8,531204.0,1006.0,0.00189381
