SNR =  2.00, rawBER =  0.05, BLER =     1000/    1995 = 0.501253
SNR =  2.25, rawBER =  0.05, BLER =     1000/    2555 = 0.391389
SNR =  2.50, rawBER =  0.04, BLER =     1000/    3474 = 0.287853
SNR =  2.75, rawBER =  0.04, BLER =     1000/    5201 = 0.192271
SNR =  3.00, rawBER =  0.03, BLER =     1000/    8213 = 0.121758
SNR =  3.25, rawBER =  0.03, BLER =     1000/   13756 = 0.072696
SNR =  3.50, rawBER =  0.03, BLER =     1000/   24442 = 0.040913
SNR =  3.75, rawBER =  0.02, BLER =     1000/   44494 = 0.022475
SNR =  4.00, rawBER =  0.02, BLER =     1000/   86135 = 0.011610
SNR =  4.25, rawBER =  0.02, BLER =     1000/  194483 = 0.005142
SNR =  4.50, rawBER =  0.02, BLER =     1000/  465134 = 0.002150
