SNR =  2.00, rawBER =  0.08, BLER =     1000/    2192 = 0.456204
SNR =  2.25, rawBER =  0.07, BLER =     1000/    2812 = 0.355619
SNR =  2.50, rawBER =  0.07, BLER =     1000/    3795 = 0.263505
SNR =  2.75, rawBER =  0.06, BLER =     1000/    5658 = 0.176741
SNR =  3.00, rawBER =  0.06, BLER =     1000/    8605 = 0.116212
SNR =  3.25, rawBER =  0.05, BLER =     1000/   13547 = 0.073817
SNR =  3.50, rawBER =  0.05, BLER =     1000/   23438 = 0.042666
SNR =  3.75, rawBER =  0.04, BLER =     1000/   41140 = 0.024307
SNR =  4.00, rawBER =  0.04, BLER =     1000/   79034 = 0.012653
SNR =  4.25, rawBER =  0.03, BLER =     1000/  162033 = 0.006172
SNR =  4.50, rawBER =  0.03, BLER =     1000/  344474 = 0.002903
