16 64
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
63 16 34 14 39 54 48 57 42 46 11 41 58 6 9 32 44 5 59 28 38 15 4 45 43 33 17 51 24 21 37 29 36 22 61 19 2 53 40 12 50 18 62 1 20 25 31 10 47 55 0 56 49 13 35 30 26 8 7 27 60 23 52 3
22 12 40 47 14 35 30 45 56 7 33 31 18 26 39 59 20 62 21 53 0 57 29 11 36 16 63 54 50 4 10 51 41 34 23 32 15 52 49 25 61 1 17 3 60 2 46 58 24 9 42 6 8 48 19 38 13 5 28 27 37 55 43 44
40 30 25 17 34 52 19 27 23 58 51 39 18 41 35 60 46 2 49 8 9 50 21 24 45 32 36 0 5 33 15 26 55 53 44 12 22 7 20 3 10 48 57 47 28 4 1 37 61 63 14 29 6 43 13 56 62 11 38 54 59 16 42 31
12 21 49 43 1 44 41 22 15 56 48 59 28 17 34 4 46 8 10 0 26 40 31 5 51 50 14 61 3 27 2 25 60 16 52 47 6 57 24 42 54 55 62 38 58 45 30 20 23 29 11 19 53 63 13 39 7 36 32 9 18 33 37 35
41 0 34 27 54 13 8 4 49 48 5 38 1 30 44 57 12 55 17 32 26 35 20 24 52 19 36 47 50 10 22 46 37 6 16 56 45 23 21 11 58 29 2 62 15 7 14 63 39 60 43 31 18 53 28 59 40 42 61 3 9 51 25 33
12 2 24 30 13 37 22 4 5 25 42 20 39 35 15 46 51 60 54 23 7 21 56 8 50 16 55 29 36 49 48 10 14 52 62 11 32 43 59 0 61 47 38 19 9 1 28 26 3 6 58 53 18 44 17 40 27 57 45 63 33 41 34 31
11 50 13 2 1 59 51 5 23 53 61 57 29 22 10 52 12 6 31 17 36 20 42 43 21 55 58 16 3 7 0 39 4 49 60 26 24 15 46 56 41 54 37 44 19 28 18 62 38 35 8 32 34 48 63 40 14 47 27 33 45 9 25 30
43 1 17 9 16 2 41 62 45 33 20 55 30 61 42 44 63 5 11 53 27 35 0 36 29 56 15 10 6 51 50 7 40 3 32 46 59 14 57 19 34 28 37 22 26 54 21 38 49 52 12 24 48 39 8 18 58 47 25 23 13 60 31 4
14 31 12 13 0 21 28 55 42 2 33 15 7 41 53 9 52 38 16 34 63 11 5 20 29 35 4 39 27 37 62 23 18 51 54 45 49 3 8 46 59 43 26 24 44 17 56 58 57 50 1 61 40 30 60 19 47 36 32 6 22 48 25 10
55 17 5 15 40 1 59 29 32 23 27 44 49 24 37 21 4 2 22 58 34 36 35 28 42 39 18 8 38 60 25 14 10 47 63 26 3 51 9 53 54 0 62 6 33 20 43 11 56 48 19 31 50 30 16 57 12 41 52 46 61 7 13 45
40 55 30 53 25 44 17 12 34 22 52 7 19 20 27 3 23 10 58 48 51 57 39 47 18 28 41 4 35 1 60 37 46 61 2 63 49 14 8 29 9 6 50 43 21 13 24 56 45 62 32 11 36 38 0 54 5 59 33 16 15 42 26 31
21 59 36 25 3 1 54 38 9 45 42 58 50 57 43 19 40 23 11 61 33 8 39 20 22 41 46 52 31 5 13 0 14 7 34 56 51 47 29 28 48 18 44 10 24 37 55 35 60 12 6 15 63 4 32 62 16 27 30 53 2 26 17 49
7 48 13 39 12 35 22 52 40 58 28 36 29 26 60 19 25 8 32 17 62 63 20 37 15 34 30 10 41 46 55 49 18 2 16 51 3 45 11 50 24 31 44 43 5 9 47 57 6 27 38 54 0 56 42 33 14 4 59 23 21 61 1 53
15 8 42 54 10 53 39 17 35 1 12 6 21 30 36 5 40 28 38 63 24 19 52 55 46 50 4 9 47 60 44 27 25 45 18 57 59 58 51 2 62 41 31 61 20 48 37 33 7 23 49 26 11 32 13 14 0 22 29 56 43 3 34 16
4 35 0 39 11 56 18 61 45 36 32 49 55 33 23 16 5 14 60 34 31 7 43 46 62 48 42 47 28 40 6 54 24 51 53 30 1 20 58 50 10 9 19 37 25 26 57 22 29 59 17 12 27 38 52 15 13 63 8 21 41 2 44 3
