SNR =  2.00, rawBER =  0.09, BLER =     1000/    4160 = 0.240385
SNR =  2.25, rawBER =  0.08, BLER =     1000/    5437 = 0.183925
SNR =  2.50, rawBER =  0.08, BLER =     1000/    7260 = 0.137741
SNR =  2.75, rawBER =  0.07, BLER =     1000/   10056 = 0.099443
SNR =  3.00, rawBER =  0.07, BLER =     1000/   14428 = 0.069310
SNR =  3.25, rawBER =  0.06, BLER =     1000/   22368 = 0.044707
SNR =  3.50, rawBER =  0.06, BLER =     1000/   34427 = 0.029047
SNR =  3.75, rawBER =  0.05, BLER =     1000/   59455 = 0.016819
SNR =  4.00, rawBER =  0.05, BLER =     1000/  105970 = 0.009437
SNR =  4.25, rawBER =  0.04, BLER =     1000/  198284 = 0.005043
SNR =  4.50, rawBER =  0.04, BLER =     1000/  378974 = 0.002639
