SNR =  2.00, rawBER =  0.09, BLER =     1000/   21153 = 0.047275
SNR =  2.25, rawBER =  0.08, BLER =     1000/   33964 = 0.029443
SNR =  2.50, rawBER =  0.08, BLER =     1000/   57840 = 0.017289
SNR =  2.75, rawBER =  0.07, BLER =     1000/  107596 = 0.009294
SNR =  3.00, rawBER =  0.07, BLER =     1000/  207923 = 0.004809
SNR =  3.25, rawBER =  0.06, BLER =     1000/  420323 = 0.002379
SNR =  3.50, rawBER =  0.06, BLER =     1000/  942281 = 0.001061
SNR =  3.75, rawBER =  0.05, BLER =     1000/ 2317329 = 0.000432
SNR =  4.00, rawBER =  0.05, BLER =     1000/ 6022452 = 0.000166
SNR =  4.25, rawBER =  0.12, BLER =      100/ 2211792 = 0.000049
SNR =  4.50, rawBER =  0.12, BLER =      100/ 5364487 = 0.000017
