SNR =  2.00, rawBER =  0.09, BLER =     1000/   12183 = 0.082082
SNR =  2.25, rawBER =  0.08, BLER =     1000/   17999 = 0.055559
SNR =  2.50, rawBER =  0.08, BLER =     1000/   27440 = 0.036443
SNR =  2.75, rawBER =  0.07, BLER =     1000/   43390 = 0.023047
SNR =  3.00, rawBER =  0.07, BLER =     1000/   69552 = 0.014378
SNR =  3.25, rawBER =  0.06, BLER =     1000/  114406 = 0.008741
SNR =  3.50, rawBER =  0.06, BLER =     1000/  192931 = 0.005183
SNR =  3.75, rawBER =  0.05, BLER =     1000/  351966 = 0.002841
SNR =  4.00, rawBER =  0.05, BLER =     1000/  639233 = 0.001564
SNR =  4.25, rawBER =  0.04, BLER =     1000/ 1233216 = 0.000811
SNR =  4.50, rawBER =  0.04, BLER =     1000/ 2451841 = 0.000408
