SNR =  2.00, rawBER =  0.05, BLER =     1000/    2209 = 0.452694
SNR =  2.25, rawBER =  0.05, BLER =     1000/    2945 = 0.339559
SNR =  2.50, rawBER =  0.04, BLER =     1000/    4232 = 0.236295
SNR =  2.75, rawBER =  0.04, BLER =     1000/    6404 = 0.156152
SNR =  3.00, rawBER =  0.03, BLER =     1000/    9953 = 0.100472
SNR =  3.25, rawBER =  0.03, BLER =     1000/   18124 = 0.055175
SNR =  3.50, rawBER =  0.03, BLER =     1000/   35793 = 0.027938

SNR =  3.75, rawBER =  0.02, BLER =     1000/   80670 = 0.012396
SNR =  4.00, rawBER =  0.02, BLER =     1000/  190594 = 0.005247
SNR =  4.25, rawBER =  0.02, BLER =     1000/  506523 = 0.001974
SNR =  4.50, rawBER =  0.02, BLER =     1000/ 1446098 = 0.000692
