SNR =  2.00, rawBER =  0.05, BLER =     1000/    1057 = 0.946074
SNR =  2.25, rawBER =  0.05, BLER =     1000/    1095 = 0.913242
SNR =  2.50, rawBER =  0.04, BLER =     1000/    1137 = 0.879507
SNR =  2.75, rawBER =  0.04, BLER =     1000/    1181 = 0.846740
SNR =  3.00, rawBER =  0.03, BLER =     1000/    1253 = 0.798085
SNR =  3.25, rawBER =  0.03, BLER =     1000/    1341 = 0.745712
SNR =  3.50, rawBER =  0.03, BLER =     1000/    1459 = 0.685401
SNR =  3.75, rawBER =  0.02, BLER =     1000/    1672 = 0.598086
SNR =  4.00, rawBER =  0.02, BLER =     1000/    1936 = 0.516529
SNR =  4.25, rawBER =  0.02, BLER =     1000/    2391 = 0.418235
SNR =  4.50, rawBER =  0.02, BLER =     1000/    3074 = 0.325309
