SNR =  2.00, rawBER =  0.05, BLER =     1000/    1235 = 0.809717
SNR =  2.25, rawBER =  0.05, BLER =     1000/    1331 = 0.751315
SNR =  2.50, rawBER =  0.04, BLER =     1000/    1491 = 0.670691
SNR =  2.75, rawBER =  0.04, BLER =     1000/    1705 = 0.586510
SNR =  3.00, rawBER =  0.03, BLER =     1000/    2074 = 0.482160
SNR =  3.25, rawBER =  0.03, BLER =     1000/    2701 = 0.370233
SNR =  3.50, rawBER =  0.03, BLER =     1000/    3561 = 0.280820
SNR =  3.75, rawBER =  0.02, BLER =     1000/    4969 = 0.201248
SNR =  4.00, rawBER =  0.02, BLER =     1000/    7280 = 0.137363
SNR =  4.25, rawBER =  0.02, BLER =     1000/   11186 = 0.089397
SNR =  4.50, rawBER =  0.02, BLER =     1000/   18097 = 0.055258
