SNR =  2.00, rawBER =  0.08, BLER =     1000/    1058 = 0.945180
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1100 = 0.909091
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1187 = 0.842460
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1317 = 0.759301
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1549 = 0.645578
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1953 = 0.512033
SNR =  3.50, rawBER =  0.05, BLER =     1000/    2570 = 0.389105
SNR =  3.75, rawBER =  0.04, BLER =     1000/    3806 = 0.262743
SNR =  4.00, rawBER =  0.04, BLER =     1000/    6062 = 0.164962
SNR =  4.25, rawBER =  0.03, BLER =     1000/   12516 = 0.079898
SNR =  4.50, rawBER =  0.03, BLER =     1000/   25640 = 0.039002
