SNR =  2.00, rawBER =  0.08, BLER =     1000/    1035 = 0.966184
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1058 = 0.945180
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1106 = 0.904159
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1188 = 0.841751
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1307 = 0.765111
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1488 = 0.672043
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1866 = 0.535906
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2448 = 0.408497
SNR =  4.00, rawBER =  0.04, BLER =     1000/    3514 = 0.284576
SNR =  4.25, rawBER =  0.03, BLER =     1000/    5720 = 0.174825
SNR =  4.50, rawBER =  0.03, BLER =     1000/   10557 = 0.094724
