SNR =  2.00, rawBER =  0.08, BLER =     1000/    1015 = 0.985222
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1027 = 0.973710
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1066 = 0.938086
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1114 = 0.897666
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1195 = 0.836820
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1331 = 0.751315
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1597 = 0.626174
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2057 = 0.486145
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2815 = 0.355240
SNR =  4.25, rawBER =  0.03, BLER =     1000/    4175 = 0.239521
SNR =  4.50, rawBER =  0.03, BLER =     1000/    7424 = 0.134698
