SNR =  2.00, rawBER =  0.08, BLER =     1000/    1012 = 0.988142
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1028 = 0.972763
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1056 = 0.946970
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1104 = 0.905797
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1193 = 0.838223
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1343 = 0.744602
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1597 = 0.626174
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2018 = 0.495540
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2777 = 0.360101
SNR =  4.25, rawBER =  0.03, BLER =     1000/    4297 = 0.232721
SNR =  4.50, rawBER =  0.03, BLER =     1000/    7111 = 0.140627
