SNR =  2.00, rawBER =  0.08, BLER =     1000/    1006 = 0.994036
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1013 = 0.987167
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1029 = 0.971817
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1058 = 0.945180
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1098 = 0.910747
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1188 = 0.841751
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1295 = 0.772201
SNR =  3.75, rawBER =  0.04, BLER =     1000/    1512 = 0.661376
SNR =  4.00, rawBER =  0.04, BLER =     1000/    1887 = 0.529942
SNR =  4.25, rawBER =  0.03, BLER =     1000/    2453 = 0.407664
SNR =  4.50, rawBER =  0.03, BLER =     1000/    3498 = 0.285878
