SNR =  2.00, rawBER =  0.08, BLER =     1000/    1056 = 0.946970
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1103 = 0.906618
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1190 = 0.840336
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1337 = 0.747943
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1569 = 0.637349
SNR =  3.25, rawBER =  0.05, BLER =     1000/    2002 = 0.499500
SNR =  3.50, rawBER =  0.05, BLER =     1000/    2764 = 0.361795
SNR =  3.75, rawBER =  0.04, BLER =     1000/    4066 = 0.245942
SNR =  4.00, rawBER =  0.04, BLER =     1000/    7516 = 0.133049
SNR =  4.25, rawBER =  0.03, BLER =     1000/   14012 = 0.071367
SNR =  4.50, rawBER =  0.03, BLER =     1000/   28738 = 0.034797
