SNR =  2.00, rawBER =  0.08, BLER =     1000/    1049 = 0.953289
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1094 = 0.914077
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1162 = 0.860585
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1259 = 0.794281
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1418 = 0.705219
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1720 = 0.581395
SNR =  3.50, rawBER =  0.05, BLER =     1000/    2186 = 0.457457
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2964 = 0.337382
SNR =  4.00, rawBER =  0.04, BLER =     1000/    4583 = 0.218198
SNR =  4.25, rawBER =  0.03, BLER =     1000/    8319 = 0.120207
SNR =  4.50, rawBER =  0.03, BLER =     1000/   15994 = 0.062523
