SNR =  2.00, rawBER =  0.08, BLER =     1000/    1024 = 0.976562
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1040 = 0.961538
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1083 = 0.923361
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1141 = 0.876424
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1250 = 0.800000
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1409 = 0.709723
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1669 = 0.599161
SNR =  3.75, rawBER =  0.04, BLER =     1000/    2162 = 0.462535
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2878 = 0.347464
SNR =  4.25, rawBER =  0.03, BLER =     1000/    4193 = 0.238493
SNR =  4.50, rawBER =  0.03, BLER =     1000/    6731 = 0.148566
