SNR =  2.00, rawBER =  0.08, BLER =     1000/    1008 = 0.992063
SNR =  2.25, rawBER =  0.07, BLER =     1000/    1019 = 0.981354
SNR =  2.50, rawBER =  0.07, BLER =     1000/    1037 = 0.964320
SNR =  2.75, rawBER =  0.06, BLER =     1000/    1072 = 0.932836
SNR =  3.00, rawBER =  0.06, BLER =     1000/    1113 = 0.898473
SNR =  3.25, rawBER =  0.05, BLER =     1000/    1198 = 0.834725
SNR =  3.50, rawBER =  0.05, BLER =     1000/    1315 = 0.760456
SNR =  3.75, rawBER =  0.04, BLER =     1000/    1559 = 0.641437
SNR =  4.00, rawBER =  0.04, BLER =     1000/    2001 = 0.499750
SNR =  4.25, rawBER =  0.03, BLER =     1000/    2647 = 0.377786
SNR =  4.50, rawBER =  0.03, BLER =     1000/    3810 = 0.262467
