SNR =  2.00, rawBER =  0.06, BLER =     1000/    1067 = 0.937207
SNR =  2.25, rawBER =  0.05, BLER =     1000/    1094 = 0.914077
SNR =  2.50, rawBER =  0.05, BLER =     1000/    1116 = 0.896057
SNR =  2.75, rawBER =  0.04, BLER =     1000/    1184 = 0.844595
SNR =  3.00, rawBER =  0.04, BLER =     1000/    1236 = 0.809061
SNR =  3.25, rawBER =  0.03, BLER =     1000/    1318 = 0.758725
SNR =  3.50, rawBER =  0.03, BLER =     1000/    1419 = 0.704722
SNR =  3.75, rawBER =  0.03, BLER =     1000/    1544 = 0.647668
SNR =  4.00, rawBER =  0.02, BLER =     1000/    1685 = 0.593472
SNR =  4.25, rawBER =  0.02, BLER =     1000/    1841 = 0.543183
SNR =  4.50, rawBER =  0.02, BLER =     1000/    2123 = 0.471032
