SNR =  2.00, rawBER =  0.06, BLER =     1000/    1272 = 0.786164
SNR =  2.25, rawBER =  0.05, BLER =     1000/    1362 = 0.734214
SNR =  2.50, rawBER =  0.05, BLER =     1000/    1461 = 0.684463
SNR =  2.75, rawBER =  0.04, BLER =     1000/    1585 = 0.630915
SNR =  3.00, rawBER =  0.04, BLER =     1000/    1770 = 0.564972
SNR =  3.25, rawBER =  0.03, BLER =     1000/    2021 = 0.494805
SNR =  3.50, rawBER =  0.03, BLER =     1000/    2354 = 0.424809
SNR =  3.75, rawBER =  0.03, BLER =     1000/    2825 = 0.353982
SNR =  4.00, rawBER =  0.02, BLER =     1000/    3555 = 0.281294
SNR =  4.25, rawBER =  0.02, BLER =     1000/    4604 = 0.217202
SNR =  4.50, rawBER =  0.02, BLER =     1000/    6158 = 0.162390
